round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
1,0.266194,7.183787,12800,1,39.516
2,0.13981,12.965259,12800,1,38.693
3,0.120091,11.966984,12800,1,38.989
4,0.11007,3.948126,12800,1,39.29
5,0.101768,10.026316,12800,1,38.814
6,0.098683,7.524594,12800,1,39.31
7,0.094525,5.090272,12800,1,38.862
8,0.09407,10.249764,12800,1,39.025
9,0.090338,7.363695,12800,1,38.463
10,0.090323,4.646626,12800,1,40.279
11,0.089609,5.097791,12800,1,38.565
12,0.086791,3.617205,12800,1,38.644
13,0.083444,11.473179,12800,1,38.568
14,0.083536,10.968504,12800,1,38.584
15,0.08404,6.725642,12800,1,38.735
16,0.082894,6.105095,12800,1,38.657
17,0.083145,9.250021,12800,1,38.726
18,0.081899,7.483371,12800,1,38.627
19,0.080465,6.78211,12800,1,38.637
20,0.080621,11.205812,12800,1,38.77
21,0.079942,3.786215,12800,1,38.685
22,0.08014,7.198013,12800,1,38.673
23,0.078693,6.216102,12800,1,38.747
24,0.077895,11.060883,12800,1,38.723
25,0.079483,7.05206,12800,1,38.675
26,0.078198,5.87019,12800,1,38.87
27,0.078146,3.856099,12800,1,38.764
28,0.079729,6.081514,12800,1,38.829
29,0.077004,12.988555,12800,1,38.744
30,0.077433,6.143375,12800,1,38.92
31,0.077581,5.904235,12800,1,38.818
32,0.075396,5.473338,12800,1,38.756
33,0.076746,4.719651,12800,1,38.742
34,0.075909,9.756692,12800,1,38.866
35,0.076608,10.973054,12800,1,38.702
36,0.073937,5.576082,12800,1,38.858
37,0.074741,12.796941,12800,1,38.678
38,0.075979,9.2429,12800,1,38.989
39,0.074599,7.00039,12800,1,38.816
40,0.076264,11.070589,12800,1,38.801
41,0.075596,5.687472,12800,1,38.774
42,0.073208,14.129324,12800,1,38.841
43,0.073858,6.984278,12800,1,38.782
44,0.074172,7.385552,12800,1,38.81
45,0.074518,6.399164,12800,1,38.75
46,0.074284,11.222796,12800,1,38.793
47,0.075234,6.611907,12800,1,38.9
48,0.074363,6.482416,12800,1,38.712
49,0.073431,10.969081,12800,1,38.769
50,0.073318,8.715091,12800,1,38.79
51,0.074436,7.539956,12800,1,38.735
52,0.072642,5.532308,12800,1,38.778
53,0.074008,7.73919,12800,1,38.776
54,0.073695,8.310381,12800,1,38.738
55,0.071275,10.795574,12800,1,38.835
56,0.07222,9.255816,12800,1,38.798
57,0.07294,10.886892,12800,1,38.742
58,0.073492,5.105817,12800,1,38.833
59,0.073171,6.22202,12800,1,38.778
60,0.072529,10.08024,12800,1,38.868
61,0.072155,5.114674,12800,1,38.785
62,0.072144,6.775484,12800,1,38.769
63,0.072557,4.013787,12800,1,38.888
64,0.070342,9.943828,12800,1,38.765
65,0.071723,6.999849,12800,1,38.753
66,0.071305,6.174593,12800,1,38.889
