round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
1,1.010444,26.952866,4480,1,2.031
2,0.75457,30.333935,4480,1,0.995
3,0.569745,31.685375,4480,1,0.965
4,0.470818,30.051887,4480,1,0.969
5,0.403341,28.077203,4480,1,0.956
6,0.37172,28.241659,4480,1,1.028
7,0.352478,27.637422,4480,1,0.981
8,0.320868,28.198693,4480,1,0.999
9,0.310534,26.850472,4480,1,1.143
10,0.304993,26.939204,4480,1,0.99
11,0.292129,27.967157,4480,1,0.954
12,0.282749,27.207148,4480,1,0.957
13,0.280007,25.929593,4480,1,0.958
14,0.265067,26.878036,4480,1,1.008
15,0.266024,25.45056,4480,1,0.937
16,0.261258,27.102016,4480,1,1.054
17,0.253883,26.652086,4480,1,1.018
18,0.2511,25.843159,4480,1,0.99
19,0.243042,26.376066,4480,1,0.968
20,0.241595,25.043355,4480,1,1.198
21,0.232696,25.622436,4480,1,1.008
22,0.242415,26.252477,4480,1,0.957
23,0.239045,26.759883,4480,1,0.968
24,0.232806,27.250627,4480,1,0.972
25,0.230158,26.526179,4480,1,1.061
26,0.226608,26.789711,4480,1,1.008
27,0.228283,25.517661,4480,1,0.985
28,0.224508,26.29547,4480,1,0.988
29,0.221969,26.858535,4480,1,1.517
30,0.218452,26.452109,4480,1,0.972
31,0.219124,26.068851,4480,1,1.043
32,0.216016,26.588762,4480,1,0.979
33,0.217302,26.801976,4480,1,1.063
34,0.21622,25.695205,4480,1,0.98
35,0.210346,27.309635,4480,1,1.027
36,0.212889,26.798419,4480,1,1.023
37,0.209542,26.441729,4480,1,1.117
38,0.208595,27.033695,4480,1,1.019
39,0.208711,27.312907,4480,1,1.015
40,0.209963,26.929483,4480,1,0.996
41,0.210283,25.761517,4480,1,0.993
42,0.206409,26.896123,4480,1,1.063
43,0.2084,27.098182,4480,1,1.196
44,0.206478,27.655278,4480,1,1.226
45,0.203103,26.821036,4480,1,1.055
46,0.203182,26.758909,4480,1,1.02
47,0.205032,28.39188,4480,1,1.085
48,0.20742,27.122362,4480,1,1.081
49,0.209311,28.205287,4480,1,1.032
50,0.20568,26.257015,4480,1,1.213
51,0.203221,27.315218,4480,1,1.153
52,0.202051,27.360053,4480,1,1.109
53,0.200186,26.310353,4480,1,1.062
54,0.199764,26.91928,4480,1,1.042
55,0.198774,27.692937,4480,1,1.04
56,0.194097,26.609236,4480,1,1.461
57,0.201239,27.270872,4480,1,1.081
58,0.196154,26.118953,4480,1,1.036
59,0.204298,27.301509,4480,1,1.005
60,0.197189,27.23416,4480,1,1.009
61,0.200346,26.797061,4480,1,1.049
62,0.194262,26.631173,4480,1,1.233
63,0.197047,27.529809,4480,1,1.222
64,0.19603,26.969262,4480,1,1.194
65,0.19467,26.502432,4480,1,1.187
66,0.193518,28.272545,4480,1,1.329
67,0.195934,27.328258,4480,1,1.279
68,0.195228,26.88222,4480,1,1.481
69,0.197293,27.927579,4480,1,1.17
70,0.19386,26.99054,4480,1,1.09
71,0.197247,27.598776,4480,1,1.064
72,0.197365,26.071817,4480,1,1.071
73,0.190105,27.943621,4480,1,1.039
74,0.19005,25.396677,4480,1,1.258
75,0.199139,27.020672,4480,1,1.159
76,0.189048,26.499346,4480,1,1.381
77,0.195991,27.7976,4480,1,1.459
78,0.193261,26.85924,4480,1,1.073
79,0.195337,26.593533,4480,1,1.086
80,0.192234,27.33512,4480,1,1.061
81,0.195761,27.010968,4480,1,1.06
82,0.19418,26.280669,4480,1,1.032
83,0.188294,26.585192,4480,1,1.032
84,0.189041,27.237248,4480,1,1.017
85,0.188182,25.870835,4480,1,1.453
86,0.187618,26.726803,4480,1,1.222
87,0.18664,27.696008,4480,1,1.047
88,0.193686,28.807138,4480,1,1.044
89,0.186528,26.919829,4480,1,1.0
90,0.188723,27.385877,4480,1,1.0
91,0.187205,26.838152,4480,1,1.011
92,0.185651,26.657844,4480,1,1.018
93,0.189899,26.077264,4480,1,1.149
94,0.188945,27.862847,4480,1,1.11
95,0.18807,27.939001,4480,1,1.11
96,0.188864,28.3709,4480,1,1.798
97,0.183853,26.843538,4480,1,1.152
98,0.189824,26.916241,4480,1,1.026
99,0.184896,27.942209,4480,1,1.031
100,0.187337,27.158004,4480,1,1.085
