round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
1,1.049766,26.716733,39337,2,5.397
2,0.852447,28.653069,34617,2,1.378
3,0.68745,31.23853,24248,2,1.404
4,0.56715,32.486995,34617,2,1.457
5,0.478391,30.454093,34617,2,1.365
6,0.435596,28.85595,39337,2,1.353
7,0.393193,26.428824,39337,2,1.575
8,0.359776,27.311081,24248,2,1.425
9,0.330899,26.838001,34617,2,1.377
10,0.309363,26.200229,20663,2,1.514
11,0.308163,26.582354,39337,2,1.418
12,0.290147,26.089232,35752,2,1.38
13,0.278687,24.886386,34617,2,1.385
14,0.268229,26.421237,20663,2,1.434
15,0.277359,26.622986,25383,2,1.387
16,0.259198,26.392505,34617,2,1.466
17,0.265269,25.242526,25383,2,1.481
18,0.257383,25.481746,39337,2,1.396
19,0.257138,25.935692,39337,2,1.409
20,0.245764,25.133691,20663,2,1.511
21,0.235463,25.29457,34617,2,1.407
22,0.243459,26.48637,35752,2,1.375
23,0.242156,25.488567,24248,2,1.492
24,0.235688,25.997347,34617,2,1.443
25,0.237582,26.028092,35752,2,1.379
26,0.236863,27.273224,35752,2,1.487
27,0.227683,25.981952,20663,2,1.469
28,0.236952,26.180174,39337,2,1.411
29,0.23559,25.827556,25383,2,1.386
30,0.231277,26.291172,39337,2,1.399
31,0.229494,26.08955,24248,2,1.407
32,0.226155,25.481154,20663,2,1.476
33,0.218328,25.687658,34617,2,1.424
34,0.220468,26.676495,20663,2,1.409
35,0.215965,26.988018,20663,2,1.402
36,0.220832,26.562892,35752,2,1.385
37,0.216416,25.581943,34617,2,1.526
38,0.212603,26.182551,20663,2,1.539
39,0.216029,26.186905,24248,2,1.434
40,0.221643,28.142698,25383,2,1.44
41,0.220285,26.633741,35752,2,1.405
42,0.210792,27.112811,20663,2,1.646
43,0.20643,25.726366,34617,2,1.44
44,0.214873,27.482254,24248,2,1.454
45,0.206781,26.44654,20663,2,1.463
46,0.208098,26.582944,34617,2,1.425
47,0.207557,26.309627,20663,2,1.511
48,0.208887,26.682077,34617,2,1.386
49,0.215102,25.903747,25383,2,1.437
50,0.215374,27.468894,39337,2,1.44
51,0.205369,26.552515,34617,2,1.472
52,0.206215,26.067673,20663,2,1.552
53,0.210639,26.295335,35752,2,1.435
54,0.206958,26.890181,35752,2,1.445
55,0.216941,27.041538,25383,2,1.465
56,0.206826,26.969548,24248,2,1.512
57,0.212055,27.88249,39337,2,1.387
58,0.208645,26.676134,39337,2,1.43
59,0.203008,25.26999,20663,2,1.388
60,0.20297,26.682626,20663,2,1.504
61,0.205863,26.18271,35752,2,1.442
62,0.202906,25.991843,24248,2,1.491
63,0.203899,27.600315,35752,2,1.44
64,0.205057,25.864048,35752,2,1.421
65,0.208044,27.353944,35752,2,1.533
66,0.200179,28.313411,34617,2,1.457
67,0.201334,26.967372,34617,2,1.436
68,0.206572,27.08766,35752,2,1.47
69,0.203949,27.075716,34617,2,1.413
70,0.19815,25.932434,20663,2,1.411
71,0.208664,27.347857,25383,2,1.401
72,0.195675,25.44319,34617,2,1.559
73,0.199588,27.005935,35752,2,1.57
74,0.198317,26.117561,20663,2,1.455
75,0.201864,26.30339,34617,2,1.417
76,0.203961,28.220548,35752,2,1.375
77,0.2006,26.950781,24248,2,1.363
78,0.195567,27.438326,34617,2,1.405
79,0.197057,27.50421,34617,2,1.573
80,0.197021,28.469593,20663,2,1.409
81,0.207266,27.572545,39337,2,1.403
82,0.197135,28.563272,20663,2,1.395
83,0.199779,27.949212,24248,2,1.54
84,0.19393,27.406772,20663,2,1.448
85,0.204197,27.13298,39337,2,1.437
86,0.200851,27.482344,39337,2,1.442
87,0.193036,26.382803,24248,2,1.373
88,0.196823,27.183303,35752,2,1.474
89,0.202062,27.977134,25383,2,1.724
90,0.202796,28.410386,39337,2,1.4
91,0.196062,25.942739,20663,2,1.665
92,0.193447,27.973658,20663,2,1.542
93,0.195317,28.209234,20663,2,1.406
94,0.203565,27.909907,39337,2,1.448
95,0.199315,28.056466,24248,2,1.409
96,0.197674,27.035683,24248,2,1.503
97,0.191242,27.749582,34617,2,1.403
98,0.192715,28.180991,20663,2,1.407
99,0.194477,28.365552,24248,2,1.488
100,0.186361,28.128687,34617,2,1.469
