round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec
1,1.112097,26.048675,26481,2,10.294
2,1.018765,26.478041,28614,2,4.059
3,0.935997,27.152374,25747,2,4.064
4,0.861503,27.708172,28614,2,4.257
5,0.790705,28.196166,28614,2,3.967
6,0.722549,29.281055,26481,2,4.425
7,0.669333,30.644993,26481,2,3.894
8,0.61714,32.218954,25747,2,3.818
9,0.573552,32.546332,28614,2,4.169
10,0.529369,32.292874,33519,2,3.638
11,0.487882,31.527977,26481,2,3.903
12,0.463028,28.746265,34253,2,3.633
13,0.43867,28.559075,28614,2,3.553
14,0.420022,26.828496,33519,2,3.982
15,0.408409,27.456919,31386,2,3.597
16,0.387761,26.645174,28614,2,3.711
17,0.377231,26.430832,31386,2,3.79
18,0.361833,24.718571,26481,2,3.905
19,0.3508,26.652581,26481,2,3.907
20,0.34825,25.931135,33519,2,3.582
21,0.33892,27.55044,28614,2,3.664
22,0.335334,26.352416,34253,2,4.135
23,0.32138,26.807619,25747,2,3.563
24,0.317978,26.633597,28614,2,3.776
25,0.318791,26.798502,34253,2,3.717
26,0.31195,25.305805,34253,2,3.742
27,0.308503,26.607043,33519,2,3.878
28,0.29698,26.357586,26481,2,4.01
29,0.294902,25.621713,31386,2,3.638
30,0.286864,26.24349,26481,2,3.911
31,0.288021,26.065205,25747,2,3.688
32,0.287413,26.053831,33519,2,3.859
33,0.279687,26.048898,28614,2,3.772
34,0.27607,25.804054,33519,2,3.947
35,0.266217,25.586677,33519,2,4.136
36,0.270216,25.996624,34253,2,3.791
37,0.267289,26.559997,28614,2,4.019
38,0.270094,25.656492,33519,2,4.016
39,0.260266,25.265414,25747,2,3.705
40,0.256316,26.676846,31386,2,4.038
41,0.261311,26.009994,34253,2,3.75
42,0.253943,25.682503,33519,2,3.867
43,0.254341,25.87292,28614,2,3.986
44,0.253821,26.940357,25747,2,3.647
45,0.251481,26.361607,33519,2,3.946
46,0.256137,26.304736,28614,2,3.68
47,0.249548,26.232705,33519,2,3.685
48,0.249806,25.806022,28614,2,3.998
49,0.243911,27.029398,31386,2,3.676
50,0.243108,25.957365,26481,2,3.933
51,0.243899,25.991225,28614,2,3.786
52,0.238126,26.473945,33519,2,3.807
53,0.237917,24.382194,34253,2,4.203
54,0.239255,25.758892,34253,2,3.78
55,0.233239,24.907902,31386,2,3.831
56,0.245929,26.064861,25747,2,3.811
57,0.237028,27.190161,26481,2,3.815
58,0.234023,26.153758,26481,2,4.16
59,0.234635,24.377392,33519,2,3.851
60,0.231274,26.14555,33519,2,3.735
61,0.23693,26.210995,34253,2,4.042
62,0.234119,26.227258,25747,2,3.834
63,0.227558,26.840444,34253,2,4.106
64,0.229408,25.14507,34253,2,3.789
65,0.228202,26.92742,34253,2,4.089
66,0.231479,25.996126,28614,2,4.304
67,0.233739,25.283822,28614,2,4.385
68,0.230754,25.526614,34253,2,4.532
69,0.22421,26.392463,28614,2,4.257
70,0.226041,26.531606,33519,2,4.365
71,0.225922,26.170292,31386,2,3.906
72,0.228439,26.107067,28614,2,3.703
73,0.221283,26.25743,34253,2,3.987
74,0.227499,25.174537,33519,2,3.535
75,0.227207,26.618868,28614,2,3.861
76,0.227279,26.236994,34253,2,3.741
77,0.219452,26.50663,25747,2,3.753
78,0.223228,25.99703,28614,2,3.783
79,0.227847,27.045056,28614,2,3.6
80,0.218481,24.300594,33519,2,3.661
81,0.218499,25.857835,26481,2,4.142
82,0.220487,26.542057,33519,2,3.543
83,0.225475,27.786822,25747,2,3.724
84,0.217896,26.571724,33519,2,4.14
85,0.22001,27.142766,26481,2,3.62
86,0.217253,27.323341,26481,2,3.83
87,0.217358,26.568538,25747,2,3.605
88,0.219782,25.776344,34253,2,3.639
89,0.211763,26.877663,31386,2,3.997
90,0.223556,26.46641,26481,2,3.59
91,0.219699,26.587299,33519,2,4.027
92,0.213658,26.732158,33519,2,3.711
93,0.213009,25.63736,33519,2,3.64
94,0.212364,27.212461,26481,2,3.898
95,0.2165,25.962263,25747,2,3.677
96,0.221207,26.219584,25747,2,3.726
97,0.213335,25.634293,28614,2,4.297
98,0.21254,25.583125,33519,2,3.649
99,0.21667,26.145802,25747,2,4.076
100,0.216887,27.268437,28614,2,3.989
