WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5055
Press CTRL+C to quit
127.0.0.1 - - [19/Apr/2026 18:42:48] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [19/Apr/2026 18:42:49] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:49] "GET /static/app.js HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:49] "GET /static/style.css HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [19/Apr/2026 18:42:57] "POST /login HTTP/1.1" 302 -
127.0.0.1 - - [19/Apr/2026 18:42:58] "GET /dashboard HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:58] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:42:58] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:42:58] "GET /api/monitor/live HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /fashion-spotlight HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /preview-artifacts/outputs/fashion_central_long100_portal_run/samples/best.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /preview-artifacts/outputs/fashion_fed_balanced_long100_portal_run/samples/best.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /preview-artifacts/outputs/fashion_fed_full_long100_portal_run/samples/best.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /preview-artifacts/outputs/fashion_fed_stable_long100_portal_run/samples/best.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:42:59] "GET /preview-artifacts/outputs/fashion_long100_suite/comparison_samples.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:21] "GET /experiments/fashion_qualitypush_t300_attn HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:21] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:21] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:21] "GET /artifacts/outputs/fashion_b48_stage5_attn_t300_qualitypush_run/samples/best.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:29] "GET /sampling-lab HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:29] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:29] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:32] "GET /federation HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:32] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:32] "GET /static/diagrams/federated_learning_pipeline.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:32] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:32] "GET /static/diagrams/paper_comparison_storyline.svg HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:33] "GET /research HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:33] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:33] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:33] "GET /static/reference_assets/project_model.png HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:46] "GET /federation HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:43:46] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:46] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:46] "GET /static/diagrams/federated_learning_pipeline.svg HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:43:46] "GET /static/diagrams/paper_comparison_storyline.svg HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:44:06] "GET /fashion-spotlight HTTP/1.1" 200 -
127.0.0.1 - - [19/Apr/2026 18:44:06] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:44:06] "GET /static/app.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Apr/2026 18:44:06] "GET /preview-artifacts/outputs/fashion_fed_balanced_long100_portal_run/samples/best.png HTTP/1.1" 304 -
