round,avg_client_loss,proxy_fid,total_samples,aggregated_clients
1,0.851928,34.734375,60000,4
2,0.329244,16.067938,60000,4
3,0.220197,11.655807,60000,4
4,0.180901,8.617147,60000,4
5,0.161123,10.310047,60000,4
6,0.146459,10.550253,60000,4
7,0.135706,8.991718,60000,4
8,0.128298,8.846632,60000,4
9,0.120932,9.320685,60000,4
10,0.117349,7.747893,60000,4
11,0.114087,7.483915,60000,4
12,0.109073,6.524628,60000,4
13,0.105516,5.47425,60000,4
14,0.108827,8.697773,60000,4
15,0.104664,7.937762,60000,4
16,0.099992,6.274701,60000,4
17,0.097786,5.431426,60000,4
18,0.096821,5.702405,60000,4
19,0.098404,9.748172,60000,4
20,0.095806,6.413159,60000,4
21,0.09457,12.041921,60000,4
22,0.09418,6.082886,60000,4
23,0.090293,7.515908,60000,4
24,0.089563,7.599217,60000,4
25,0.090035,7.825553,60000,4
26,0.089639,7.379559,60000,4
27,0.089022,6.587365,60000,4
28,0.086138,5.986545,60000,4
29,0.086149,6.408401,60000,4
30,0.085192,5.544845,60000,4
31,0.086751,6.649081,60000,4
32,0.086274,5.866939,60000,4
33,0.084806,5.608045,60000,4
34,0.084654,6.255754,60000,4
35,0.084915,3.536722,60000,4
36,0.083673,9.609333,60000,4
37,0.082522,5.955003,60000,4
38,0.081941,6.45197,60000,4
39,0.083882,4.765387,60000,4
40,0.080705,8.284958,60000,4
41,0.080616,5.256752,60000,4
42,0.080543,6.68817,60000,4
43,0.08087,4.116599,60000,4
44,0.078863,5.450263,60000,4
45,0.07856,5.760383,60000,4
46,0.07954,5.176962,60000,4
47,0.078865,6.391056,60000,4
48,0.079389,4.881627,60000,4
49,0.078722,6.76495,60000,4
50,0.077218,5.428875,60000,4
51,0.078212,5.755111,60000,4
52,0.077956,5.415574,60000,4
53,0.076612,5.131221,60000,4
54,0.077974,4.940139,60000,4
55,0.076671,5.785877,60000,4
56,0.076073,5.585394,60000,4
57,0.076635,4.453861,60000,4
58,0.075653,5.450237,60000,4
59,0.076051,7.002018,60000,4
60,0.07496,4.61026,60000,4
