round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.349752,9.518035,10240,1,58.343,,,,,,
2,0.134249,3.662552,10240,1,56.19,,,,,,
3,0.106892,2.843049,10240,1,56.639,,,,,,
4,0.09252,5.764003,10240,1,56.439,,,,,,
5,0.083816,4.848618,10240,1,57.13,670.8074951171875,0.8162849545478821,0.4973958432674408,2.0866453647613525,9,0.9904
6,0.078262,2.463924,10240,1,56.516,,,,,,
7,0.074187,1.215221,10240,1,56.398,,,,,,
8,0.071608,2.441264,10240,1,56.289,,,,,,
9,0.067236,2.205579,10240,1,56.096,,,,,,
10,0.065363,3.38843,10240,1,56.249,402.45416259765625,0.8889476656913757,0.6822916865348816,2.091721534729004,9,0.9904
11,0.064086,0.762758,10240,1,55.97,,,,,,
12,0.062368,1.591967,10240,1,56.119,,,,,,
13,0.060802,1.827082,10240,1,56.109,,,,,,
14,0.061902,3.056547,10240,1,56.222,,,,,,
15,0.059813,2.251178,10240,1,56.24,214.82032775878906,0.9000080227851868,0.6953125,2.2382733821868896,10,0.9904
16,0.058355,3.042178,10240,1,56.272,,,,,,
17,0.05772,2.607872,10240,1,56.552,,,,,,
18,0.056497,2.44247,10240,1,56.478,,,,,,
19,0.055856,2.185831,10240,1,56.333,,,,,,
20,0.056168,2.985982,10240,1,56.514,352.927001953125,0.9298620223999023,0.8020833134651184,2.112335205078125,10,0.9904
21,0.055232,3.776021,10240,1,56.62,,,,,,
22,0.055542,1.844202,10240,1,56.454,,,,,,
23,0.053306,1.363143,10240,1,56.481,,,,,,
24,0.053109,2.864728,10240,1,56.423,,,,,,
25,0.052972,2.731668,10240,1,56.629,338.9382019042969,0.9356827139854431,0.8125,2.1075377464294434,10,0.9904
26,0.053482,1.18704,10240,1,56.468,,,,,,
27,0.052907,1.800475,10240,1,56.47,,,,,,
28,0.052286,3.607776,10240,1,56.562,,,,,,
29,0.052124,4.305468,10240,1,56.899,,,,,,
30,0.051442,3.01327,10240,1,56.548,331.3562316894531,0.934702455997467,0.8125,2.1377623081207275,10,0.9904
31,0.051994,3.413575,10240,1,56.561,,,,,,
32,0.051517,3.985228,10240,1,56.722,,,,,,
33,0.051647,1.782197,10240,1,56.712,,,,,,
34,0.051659,2.417901,10240,1,56.81,,,,,,
35,0.051096,3.223075,10240,1,56.728,296.147216796875,0.9461575150489807,0.8385416865348816,2.132075548171997,10,0.9904
36,0.050781,4.293223,10240,1,56.871,,,,,,
37,0.050219,1.73598,10240,1,56.931,,,,,,
38,0.050011,1.870309,10240,1,56.705,,,,,,
39,0.050384,0.999017,10240,1,56.927,,,,,,
40,0.049447,0.919327,10240,1,56.733,187.46527099609375,0.9590504765510559,0.8828125,2.1982741355895996,10,0.9904
41,0.049911,2.473013,10240,1,56.952,,,,,,
42,0.049577,2.430022,10240,1,56.712,,,,,,
43,0.048942,2.435789,10240,1,56.921,,,,,,
44,0.048836,1.26437,10240,1,57.488,,,,,,
45,0.049303,2.280493,10240,1,57.959,299.7669677734375,0.9544939994812012,0.8854166865348816,2.173017978668213,10,0.9904
46,0.048983,2.262422,10240,1,58.343,,,,,,
47,0.049105,2.360829,10240,1,57.477,,,,,,
48,0.049031,2.287179,10240,1,56.908,,,,,,
49,0.049279,3.67694,10240,1,57.139,,,,,,
50,0.048217,2.198081,10240,1,57.355,261.90032958984375,0.9553263783454895,0.875,2.2014241218566895,10,0.9904
51,0.048748,1.390439,10240,1,57.207,,,,,,
52,0.049125,5.64146,10240,1,57.614,,,,,,
53,0.048239,2.361175,10240,1,57.179,,,,,,
54,0.049085,1.840119,10240,1,57.46,,,,,,
55,0.048087,3.035503,10240,1,57.897,351.8536071777344,0.9501946568489075,0.859375,2.128373861312866,10,0.9904
56,0.048303,3.22092,10240,1,58.031,,,,,,
57,0.04855,2.620991,10240,1,57.388,,,,,,
58,0.047769,1.746384,10240,1,57.398,,,,,,
59,0.047714,3.702181,10240,1,58.08,,,,,,
60,0.047316,4.260314,10240,1,57.856,368.70001220703125,0.9534134268760681,0.8645833134651184,2.083887815475464,10,0.9904
61,0.047561,2.37519,10240,1,57.512,,,,,,
62,0.04738,2.690275,10240,1,57.615,,,,,,
63,0.046872,3.339492,10240,1,58.334,,,,,,
64,0.047498,2.450121,10240,1,60.691,,,,,,
65,0.047297,2.909932,10240,1,58.886,249.3414306640625,0.9703938364982605,0.9036458134651184,2.1954100131988525,10,0.9904
66,0.047536,1.348751,10240,1,57.201,,,,,,
67,0.047128,3.985279,10240,1,57.967,,,,,,
68,0.047174,1.521737,10240,1,66.809,,,,,,
69,0.046679,1.02232,10240,1,68.945,,,,,,
70,0.046404,3.858653,10240,1,67.845,233.45126342773438,0.9475307464599609,0.84375,2.189631462097168,10,0.9904
71,0.046576,1.119532,10240,1,64.939,,,,,,
72,0.046552,3.466432,10240,1,68.178,,,,,,
73,0.0469,3.612689,10240,1,64.271,,,,,,
74,0.046636,1.540037,10240,1,66.002,,,,,,
75,0.046303,1.848372,10240,1,64.729,289.50079345703125,0.9443387389183044,0.8411458134651184,2.1715714931488037,10,0.9904
76,0.046872,2.041374,10240,1,79.592,,,,,,
77,0.047154,1.240547,10240,1,65.309,,,,,,
78,0.046432,2.63938,10240,1,65.071,,,,,,
79,0.0474,4.131878,10240,1,66.768,,,,,,
80,0.045764,1.463599,10240,1,64.714,321.6934509277344,0.9639225602149963,0.9010416865348816,2.1713368892669678,10,0.9904
81,0.045889,1.527431,10240,1,63.148,,,,,,
82,0.046158,1.953104,10240,1,62.099,,,,,,
83,0.046624,1.721688,10240,1,63.818,,,,,,
84,0.046808,1.772269,10240,1,62.855,,,,,,
85,0.045286,1.743928,10240,1,62.496,268.07452392578125,0.9760603904724121,0.9296875,2.1824097633361816,10,0.9904
86,0.045884,0.650412,10240,1,62.695,,,,,,
87,0.046083,4.743312,10240,1,63.041,,,,,,
88,0.045999,1.097455,10240,1,63.43,,,,,,
89,0.045814,2.588213,10240,1,64.238,,,,,,
90,0.04593,1.921316,10240,1,63.938,287.6531982421875,0.9589752554893494,0.8802083134651184,2.1731433868408203,10,0.9904
91,0.045988,1.756918,10240,1,62.844,,,,,,
92,0.046437,3.460464,10240,1,62.912,,,,,,
93,0.04596,2.439431,10240,1,61.486,,,,,,
94,0.04597,2.834643,10240,1,65.262,,,,,,
95,0.045653,1.260957,10240,1,62.625,266.1776123046875,0.9729712605476379,0.9192708134651184,2.176525831222534,10,0.9904
96,0.045739,2.221313,10240,1,64.92,,,,,,
97,0.045784,3.277989,10240,1,62.64,,,,,,
98,0.045664,1.81773,10240,1,63.044,,,,,,
99,0.045421,1.850762,10240,1,61.836,,,,,,
100,0.045597,1.513572,10240,1,62.726,398.44696044921875,0.9590247273445129,0.8880208134651184,2.1096737384796143,10,0.9904
101,0.046183,2.958308,10240,1,63.471,,,,,,
102,0.046012,2.452463,10240,1,62.582,,,,,,
103,0.045716,4.552482,10240,1,61.555,,,,,,
104,0.045384,2.934044,10240,1,62.342,,,,,,
105,0.045313,2.416182,10240,1,62.754,292.1644287109375,0.9699859023094177,0.9036458134651184,2.1665236949920654,10,0.9904
106,0.045239,1.394391,10240,1,61.208,,,,,,
107,0.044748,2.706715,10240,1,57.976,,,,,,
108,0.044874,3.252273,10240,1,57.875,,,,,,
109,0.045756,1.357745,10240,1,58.026,,,,,,
110,0.045089,2.885569,10240,1,57.869,303.5440673828125,0.9656885266304016,0.8932291865348816,2.1437275409698486,10,0.9904
111,0.04538,3.678936,10240,1,57.758,,,,,,
112,0.045202,2.885046,10240,1,57.878,,,,,,
113,0.044994,1.680409,10240,1,58.067,,,,,,
114,0.044452,2.690194,10240,1,58.198,,,,,,
115,0.045233,2.714327,10240,1,58.193,236.6791534423828,0.9697584509849548,0.9010416865348816,2.161585807800293,10,0.9904
116,0.044692,2.457072,10240,1,58.117,,,,,,
117,0.045167,2.671199,10240,1,58.285,,,,,,
118,0.044995,2.054331,10240,1,58.581,,,,,,
119,0.04525,1.371599,10240,1,57.864,,,,,,
120,0.045278,2.877843,10240,1,57.848,268.83685302734375,0.9733197093009949,0.9114583134651184,2.18192982673645,10,0.9904
121,0.04493,0.900406,10240,1,57.422,,,,,,
122,0.044758,1.986453,10240,1,57.498,,,,,,
123,0.045303,2.380792,10240,1,57.757,,,,,,
124,0.044528,1.721887,10240,1,57.696,,,,,,
125,0.045297,2.866251,10240,1,57.798,372.24969482421875,0.9617252349853516,0.8802083134651184,2.1184139251708984,10,0.9904
126,0.045157,4.281735,10240,1,57.624,,,,,,
127,0.044848,1.578256,10240,1,57.746,,,,,,
128,0.045003,1.75936,10240,1,57.228,,,,,,
129,0.044419,1.695893,10240,1,57.11,,,,,,
130,0.044778,1.036295,10240,1,57.345,199.8832244873047,0.9688973426818848,0.9036458134651184,2.23838472366333,10,0.9904
131,0.044697,1.763681,10240,1,57.19,,,,,,
132,0.044864,2.644917,10240,1,57.169,,,,,,
133,0.044409,3.015061,10240,1,57.097,,,,,,
134,0.044336,4.075069,10240,1,56.927,,,,,,
135,0.044389,2.568216,10240,1,57.128,206.4790802001953,0.9773501753807068,0.9322916865348816,2.22929310798645,10,0.9904
136,0.044277,2.361436,10240,1,56.941,,,,,,
137,0.044227,1.542674,10240,1,57.022,,,,,,
138,0.044074,1.923656,10240,1,56.926,,,,,,
139,0.044616,2.370143,10240,1,57.456,,,,,,
140,0.044212,2.337942,10240,1,57.092,340.0875244140625,0.9598190188407898,0.8880208134651184,2.138836145401001,10,0.9904
141,0.044291,2.025307,10240,1,57.093,,,,,,
142,0.044411,2.371347,10240,1,57.132,,,,,,
