round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.389253,8.725033,10240,1,55.774,,,,,,
2,0.152636,3.368716,10240,1,54.349,,,,,,
3,0.118786,2.551919,10240,1,54.396,,,,,,
4,0.102422,4.452396,10240,1,54.588,,,,,,
5,0.092548,3.700917,10240,1,52.15,1092.2293701171875,0.7387251853942871,0.3046875,1.9479469060897827,10,0.9904
6,0.087216,1.805011,10240,1,52.909,,,,,,
7,0.083777,4.8739,10240,1,53.088,,,,,,
8,0.08095,3.021965,10240,1,52.231,,,,,,
9,0.077823,2.475319,10240,1,52.036,,,,,,
10,0.076373,5.746925,10240,1,52.085,850.203857421875,0.7882936596870422,0.4088541567325592,1.9689196348190308,10,0.9904
11,0.075058,1.64604,10240,1,51.952,,,,,,
12,0.072724,3.886638,10240,1,52.223,,,,,,
13,0.071546,2.786763,10240,1,52.208,,,,,,
14,0.072639,3.616004,10240,1,52.348,,,,,,
15,0.070924,2.686053,10240,1,52.735,740.6781616210938,0.8024573922157288,0.4401041567325592,2.0267906188964844,10,0.9904
16,0.069139,2.42983,10240,1,52.431,,,,,,
17,0.068204,2.702028,10240,1,52.445,,,,,,
18,0.067122,3.396141,10240,1,52.273,,,,,,
19,0.066664,2.900714,10240,1,52.424,,,,,,
20,0.066911,3.516853,10240,1,52.364,706.62353515625,0.7957150340080261,0.421875,2.0022542476654053,10,0.9904
