round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.528599,9.723844,10240,1,88.001,,,,,,
2,0.14366,3.664649,10240,1,84.674,,,,,,
3,0.112557,2.250589,10240,1,84.971,,,,,,
4,0.09971,1.345224,10240,1,85.773,,,,,,
5,0.089401,2.122054,10240,1,163.607,915.0460815429688,0.7118893265724182,0.2526041567325592,2.0160434246063232,10,0.9889
6,0.08138,1.604497,10240,1,83.649,,,,,,
7,0.076614,1.991788,10240,1,86.02,,,,,,
8,0.072427,1.766991,10240,1,85.903,,,,,,
9,0.069537,0.750943,10240,1,86.332,,,,,,
10,0.067386,0.685486,10240,1,89.543,324.9582214355469,0.8467877507209778,0.5859375,2.2038397789001465,10,0.9889
11,0.064864,0.955148,10240,1,89.394,,,,,,
12,0.063012,2.238143,10240,1,88.185,,,,,,
13,0.061284,0.581684,10240,1,88.211,,,,,,
14,0.059415,2.247844,10240,1,88.732,,,,,,
15,0.058154,1.34383,10240,1,88.622,176.725341796875,0.9188001751899719,0.7630208134651184,2.1997971534729004,10,0.9889
16,0.057396,0.586112,10240,1,90.036,,,,,,
17,0.055268,0.644895,10240,1,90.828,,,,,,
18,0.054044,1.051316,10240,1,90.158,,,,,,
19,0.054526,0.652911,10240,1,89.232,,,,,,
20,0.053775,1.209538,10240,1,90.903,130.06256103515625,0.9142684936523438,0.7760416865348816,2.284177541732788,10,0.9889
21,0.053282,0.544208,10240,1,89.321,,,,,,
22,0.051826,0.783638,10240,1,92.003,,,,,,
23,0.051597,0.638682,10240,1,94.077,,,,,,
24,0.051046,0.655733,10240,1,87.689,,,,,,
25,0.051112,0.720621,10240,1,94.999,201.113037109375,0.9301087856292725,0.7994791865348816,2.247469425201416,10,0.9889
26,0.050726,2.523127,10240,1,98.014,,,,,,
27,0.050422,0.540236,10240,1,92.393,,,,,,
28,0.048761,1.030646,10240,1,93.77,,,,,,
29,0.048552,0.623828,10240,1,105.652,,,,,,
30,0.048188,0.63102,10240,1,106.058,121.17364501953125,0.937313973903656,0.8255208134651184,2.262420415878296,10,0.9889
31,0.049335,1.728989,10240,1,103.233,,,,,,
32,0.04818,0.912247,10240,1,99.879,,,,,,
33,0.048,0.617248,10240,1,101.179,,,,,,
34,0.048829,0.576653,10240,1,103.326,,,,,,
35,0.049553,1.963882,10240,1,102.471,275.671142578125,0.941794216632843,0.8333333134651184,2.1930971145629883,10,0.9889
36,0.048347,0.468475,10240,1,110.03,,,,,,
37,0.047247,1.056938,10240,1,104.458,,,,,,
38,0.047865,0.922724,10240,1,103.234,,,,,,
39,0.048,2.888696,10240,1,100.711,,,,,,
40,0.046819,1.022092,10240,1,104.611,181.4249267578125,0.945669949054718,0.8411458134651184,2.184124708175659,10,0.9889
41,0.0472,0.467935,10240,1,104.887,,,,,,
42,0.046662,1.01359,10240,1,106.81,,,,,,
43,0.046752,0.536175,10240,1,102.833,,,,,,
44,0.046792,1.836389,10240,1,102.438,,,,,,
45,0.046013,0.616342,10240,1,103.488,164.32061767578125,0.9286975860595703,0.7838541865348816,2.2451789379119873,10,0.9889
46,0.046776,2.34637,10240,1,126.423,,,,,,
47,0.04558,0.891644,10240,1,96.976,,,,,,
48,0.04642,0.670569,10240,1,101.801,,,,,,
49,0.04556,0.67213,10240,1,101.881,,,,,,
50,0.046085,1.043446,10240,1,102.013,155.1891632080078,0.9590189456939697,0.8854166865348816,2.23066782951355,10,0.9889
51,0.046409,1.958019,10240,1,106.473,,,,,,
52,0.045595,1.807548,10240,1,106.393,,,,,,
53,0.045608,0.982576,10240,1,107.559,,,,,,
54,0.0447,0.515593,10240,1,103.468,,,,,,
55,0.045197,1.286911,10240,1,102.564,157.31597900390625,0.957658588886261,0.8723958134651184,2.2409632205963135,10,0.9889
56,0.045369,1.093837,10240,1,101.523,,,,,,
57,0.04505,0.673713,10240,1,103.678,,,,,,
58,0.045369,0.546391,10240,1,105.174,,,,,,
59,0.044847,0.582313,10240,1,105.459,,,,,,
60,0.044493,1.005334,10240,1,103.224,135.78878784179688,0.9506533145904541,0.8645833134651184,2.2462968826293945,10,0.9889
61,0.044949,1.511062,10240,1,101.94,,,,,,
62,0.045268,1.140463,10240,1,100.234,,,,,,
63,0.044656,0.755227,10240,1,100.017,,,,,,
64,0.044286,0.915843,10240,1,101.596,,,,,,
65,0.044161,0.792044,10240,1,103.518,158.76760864257812,0.94339519739151,0.8229166865348816,2.2515952587127686,10,0.9889
66,0.043707,0.717956,10240,1,100.921,,,,,,
67,0.044122,0.430539,10240,1,103.585,,,,,,
68,0.044448,0.596933,10240,1,102.061,,,,,,
69,0.044185,1.178377,10240,1,100.368,,,,,,
70,0.043893,0.553337,10240,1,99.889,124.36833953857422,0.9563763737678528,0.875,2.2340738773345947,10,0.9889
71,0.044156,1.183573,10240,1,99.663,,,,,,
72,0.043786,0.550443,10240,1,100.547,,,,,,
73,0.044576,1.553793,10240,1,99.655,,,,,,
74,0.044159,0.683243,10240,1,101.117,,,,,,
75,0.043089,1.63692,10240,1,99.848,166.45358276367188,0.9611563682556152,0.9010416865348816,2.2386832237243652,10,0.9889
76,0.043932,0.850095,10240,1,100.361,,,,,,
77,0.043479,0.819596,10240,1,101.415,,,,,,
78,0.043706,1.051099,10240,1,99.913,,,,,,
79,0.044181,0.807118,10240,1,99.378,,,,,,
80,0.043188,1.238539,10240,1,100.696,179.98953247070312,0.9575578570365906,0.8854166865348816,2.209254741668701,10,0.9889
81,0.043278,1.238964,10240,1,101.003,,,,,,
82,0.043082,0.654718,10240,1,99.336,,,,,,
83,0.043114,1.289416,10240,1,101.008,,,,,,
84,0.043265,0.806249,10240,1,100.919,,,,,,
85,0.043338,0.913114,10240,1,99.62,109.14109802246094,0.9426280856132507,0.84375,2.2762646675109863,10,0.9889
86,0.043311,0.535761,10240,1,100.077,,,,,,
87,0.043016,0.968161,10240,1,102.15,,,,,,
88,0.043076,0.579141,10240,1,100.769,,,,,,
89,0.044013,0.861991,10240,1,102.098,,,,,,
90,0.043027,1.031817,10240,1,102.792,185.7165069580078,0.953118085861206,0.8697916865348816,2.1895899772644043,10,0.9889
91,0.042989,1.70004,10240,1,99.723,,,,,,
92,0.043759,0.490118,10240,1,99.1,,,,,,
93,0.043026,0.656281,10240,1,100.219,,,,,,
94,0.043224,0.756848,10240,1,100.557,,,,,,
95,0.042175,1.942737,10240,1,99.506,195.49327087402344,0.9700264930725098,0.9244791865348816,2.2341928482055664,10,0.9889
96,0.042438,0.774396,10240,1,98.354,,,,,,
97,0.042415,0.526245,10240,1,99.309,,,,,,
98,0.042869,1.226382,10240,1,99.043,,,,,,
99,0.042372,1.098534,10240,1,99.14,,,,,,
100,0.042278,0.643854,10240,1,99.444,139.4772491455078,0.9565854072570801,0.8776041865348816,2.258159875869751,10,0.9889
101,0.043057,0.643175,10240,1,104.523,,,,,,
102,0.042837,0.716525,10240,1,101.129,,,,,,
103,0.042625,0.523346,10240,1,101.356,,,,,,
104,0.041907,0.894942,10240,1,101.239,,,,,,
105,0.042265,0.74339,10240,1,100.749,126.09361267089844,0.9623063206672668,0.890625,2.2604620456695557,10,0.9889
106,0.04251,1.0439,10240,1,101.194,,,,,,
107,0.04204,0.568473,10240,1,99.771,,,,,,
108,0.042178,0.513573,10240,1,100.971,,,,,,
109,0.042089,1.18716,10240,1,100.79,,,,,,
110,0.042253,0.583798,10240,1,102.003,93.48368835449219,0.9596883654594421,0.8958333134651184,2.27571177482605,10,0.9889
111,0.042452,1.57774,10240,1,102.123,,,,,,
112,0.041909,0.581462,10240,1,102.794,,,,,,
113,0.042431,0.833486,10240,1,100.453,,,,,,
114,0.041376,0.772098,10240,1,102.241,,,,,,
115,0.042291,0.666708,10240,1,101.215,nan,0.9637711644172668,0.890625,2.2557520866394043,10,0.9889
116,0.04208,0.931853,10240,1,102.187,,,,,,
117,0.042153,0.737999,10240,1,102.723,,,,,,
118,0.042374,1.130698,10240,1,99.414,,,,,,
119,0.041978,0.734561,10240,1,97.47,,,,,,
120,0.042009,0.893006,10240,1,103.176,108.50550842285156,0.9639822840690613,0.875,2.2599196434020996,10,0.9889
121,0.041369,0.791275,10240,1,104.732,,,,,,
122,0.041964,0.693268,10240,1,102.012,,,,,,
123,0.041782,0.907682,10240,1,99.738,,,,,,
124,0.041396,0.737625,10240,1,101.232,,,,,,
125,0.042017,0.671964,10240,1,102.039,185.8505859375,0.953833818435669,0.8697916865348816,2.2091708183288574,10,0.9889
126,0.041559,0.828213,10240,1,99.12,,,,,,
127,0.041404,0.573824,10240,1,99.119,,,,,,
128,0.041656,0.80381,10240,1,99.064,,,,,,
129,0.042025,1.203472,10240,1,98.699,,,,,,
130,0.041596,0.68662,10240,1,98.874,96.89678955078125,0.9592531323432922,0.8880208134651184,2.2663192749023438,10,0.9889
131,0.04151,1.195792,10240,1,100.651,,,,,,
132,0.041889,1.926091,10240,1,100.936,,,,,,
133,0.040827,0.783636,10240,1,101.764,,,,,,
134,0.041355,0.615892,10240,1,99.235,,,,,,
135,0.041808,0.68469,10240,1,98.244,95.17440032958984,0.9560830593109131,0.8828125,2.27875018119812,10,0.9889
136,0.041166,0.745379,10240,1,101.5,,,,,,
137,0.041444,0.702511,10240,1,99.672,,,,,,
138,0.041456,1.498376,10240,1,98.127,,,,,,
139,0.041146,0.589673,10240,1,98.556,,,,,,
140,0.041765,1.541936,10240,1,98.753,252.8980712890625,0.9706990718841553,0.9010416865348816,2.1835896968841553,10,0.9889
141,0.041817,0.471954,10240,1,97.541,,,,,,
142,0.041156,0.812042,10240,1,98.112,,,,,,
143,0.041413,0.71149,10240,1,97.236,,,,,,
144,0.041174,1.016114,10240,1,98.003,,,,,,
145,0.041223,0.97752,10240,1,98.546,212.8577423095703,0.9704311490058899,0.9166666865348816,2.1870763301849365,10,0.9889
146,0.041791,0.483857,10240,1,100.282,,,,,,
147,0.041197,1.45976,10240,1,97.355,,,,,,
148,0.041255,0.724244,10240,1,99.392,,,,,,
149,0.040963,0.557785,10240,1,96.616,,,,,,
150,0.040989,1.094927,10240,1,98.658,116.27220153808594,0.9556663632392883,0.8645833134651184,2.2862894535064697,10,0.9889
151,0.041085,1.9334,10240,1,98.104,,,,,,
152,0.041575,0.800468,10240,1,97.496,,,,,,
153,0.041042,0.926786,10240,1,101.104,,,,,,
154,0.040824,0.955472,10240,1,100.988,,,,,,
155,0.040932,0.608628,10240,1,98.924,116.74552154541016,0.9668437838554382,0.9010416865348816,2.2779176235198975,10,0.9889
156,0.041371,0.663492,10240,1,100.235,,,,,,
157,0.040586,0.57706,10240,1,98.516,,,,,,
158,0.040952,0.778273,10240,1,102.035,,,,,,
159,0.041629,0.504415,10240,1,108.519,,,,,,
160,0.041014,0.694266,10240,1,104.865,136.44949340820312,0.9666100144386292,0.9036458134651184,2.2357306480407715,10,0.9889
161,0.040883,0.672899,10240,1,121.347,,,,,,
162,0.040261,1.964289,10240,1,96.209,,,,,,
163,0.038477,1.838087,10240,1,103.35,,,,,,
164,0.040764,0.500842,10240,1,210.866,,,,,,
165,0.040662,0.914236,10240,1,656.283,92.32086181640625,0.9642969965934753,0.9010416865348816,2.291766405105591,10,0.9889
166,0.041036,1.631352,10240,1,824.166,,,,,,
167,0.040636,0.692414,10240,1,703.613,,,,,,
168,0.04061,0.500243,10240,1,587.553,,,,,,
169,0.041148,0.668096,10240,1,858.937,,,,,,
170,0.038116,1.883859,10240,1,93.634,250.625732421875,0.984929621219635,0.9505208134651184,2.181410789489746,10,0.9889
171,0.040669,0.724585,10240,1,97.083,,,,,,
172,0.040464,0.726347,10240,1,95.522,,,,,,
173,0.03992,1.153838,10240,1,94.895,,,,,,
174,0.03951,0.719086,10240,1,95.94,,,,,,
175,0.039474,0.528418,10240,1,95.321,86.57313537597656,0.9634690284729004,0.8854166865348816,2.2865753173828125,10,0.9889
176,0.04101,0.555133,10240,1,96.613,,,,,,
