round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.528601,9.724027,10240,1,91.977,,,,,,
2,0.143715,3.5827,10240,1,86.233,,,,,,
3,0.112511,2.032918,10240,1,89.889,,,,,,
4,0.099609,1.345008,10240,1,91.181,,,,,,
5,0.089269,1.724961,10240,1,90.132,963.4039306640625,0.7050175666809082,0.2473958283662796,1.9798997640609741,10,0.9889
6,0.083011,1.365835,10240,1,89.78,,,,,,
7,0.076721,1.257054,10240,1,89.837,,,,,,
8,0.073796,0.990727,10240,1,90.346,,,,,,
9,0.068504,1.074744,10240,1,90.526,,,,,,
10,0.065341,0.840932,10240,1,90.582,368.9291687011719,0.8295838832855225,0.5494791865348816,2.270979166030884,10,0.9889
11,0.064032,0.906403,10240,1,92.148,,,,,,
12,0.062992,2.714361,10240,1,81.533,,,,,,
13,0.060068,1.051295,10240,1,80.463,,,,,,
14,0.059122,1.055639,10240,1,80.599,,,,,,
15,0.058293,1.383634,10240,1,81.456,190.30224609375,0.8813603520393372,0.6380208134651184,2.2232582569122314,10,0.9889
16,0.057641,0.714216,10240,1,81.91,,,,,,
17,0.056184,1.776402,10240,1,87.486,,,,,,
18,0.054784,1.044921,10240,1,83.986,,,,,,
19,0.05445,1.449298,10240,1,84.744,,,,,,
