round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.528603,9.711435,10240,1,127.474,,,,,,
2,0.143781,3.577823,10240,1,124.741,,,,,,
3,0.112591,2.081069,10240,1,121.776,,,,,,
4,0.099621,1.42685,10240,1,123.654,,,,,,
5,0.089278,1.92763,10240,1,123.641,898.3049490060366,0.7166902422904968,0.25,1.9821372032165527,10,0.9889
6,0.082884,1.089331,10240,1,122.384,,,,,,
7,0.076662,1.13228,10240,1,119.382,,,,,,
8,0.073762,1.584669,10240,1,120.047,,,,,,
9,0.068642,0.853437,10240,1,116.797,,,,,,
10,0.065321,0.802983,10240,1,117.458,385.03216436094874,0.8310148119926453,0.5494791865348816,2.263836145401001,10,0.9889
11,0.064017,0.927007,10240,1,117.2,,,,,,
12,0.062976,2.167389,10240,1,114.897,,,,,,
13,0.05997,1.072305,10240,1,116.299,,,,,,
14,0.05915,0.895707,10240,1,115.794,,,,,,
15,0.058244,1.647196,10240,1,116.2,202.3666422428002,0.8836860060691833,0.6640625,2.2056283950805664,10,0.9889
16,0.057536,1.03977,10240,1,118.71,,,,,,
17,0.056332,2.512571,10240,1,121.984,,,,,,
18,0.054818,1.039847,10240,1,116.386,,,,,,
19,0.054483,1.364551,10240,1,128.743,,,,,,
20,0.05313,0.714465,10240,1,133.152,264.7239915751506,0.9065378308296204,0.7291666865348816,2.204779624938965,10,0.9889
21,0.053446,0.762179,10240,1,130.817,,,,,,
22,0.052183,0.632897,10240,1,120.899,,,,,,
23,0.052855,0.854907,10240,1,120.486,,,,,,
24,0.052575,1.893367,10240,1,126.305,,,,,,
25,0.051009,0.783963,10240,1,119.195,157.24594731057687,0.9283987879753113,0.7916666865348816,2.2727670669555664,10,0.9889
26,0.050728,0.674625,10240,1,117.625,,,,,,
27,0.049777,0.524483,10240,1,114.386,,,,,,
28,0.050111,1.40955,10240,1,116.348,,,,,,
29,0.049602,0.463277,10240,1,115.953,,,,,,
30,0.049334,1.667811,10240,1,120.525,227.44972291479732,0.9339626431465149,0.8125,2.2334845066070557,10,0.9889
31,0.049459,1.315746,10240,1,118.957,,,,,,
32,0.048654,0.49758,10240,1,120.524,,,,,,
33,0.048448,0.82133,10240,1,118.321,,,,,,
34,0.048403,1.016026,10240,1,120.87,,,,,,
35,0.048361,1.381222,10240,1,119.598,146.06445724848905,0.9344514012336731,0.8177083134651184,2.2607133388519287,10,0.9889
36,0.047972,0.574357,10240,1,109.208,,,,,,
37,0.047727,1.156058,10240,1,132.339,,,,,,
38,0.047303,0.797443,10240,1,124.262,,,,,,
39,0.04632,1.594447,10240,1,123.987,,,,,,
40,0.047045,0.584165,10240,1,123.621,133.1186244454387,0.9531524777412415,0.8697916865348816,2.1949782371520996,10,0.9889
41,0.047382,0.74217,10240,1,122.505,,,,,,
42,0.046772,1.054912,10240,1,123.624,,,,,,
43,0.046518,0.566842,10240,1,124.528,,,,,,
44,0.045908,0.577432,10240,1,119.192,,,,,,
45,0.046503,0.844668,10240,1,119.82,112.03038923871367,0.9508171677589417,0.8567708134651184,2.2700231075286865,10,0.9889
46,0.047078,2.04698,10240,1,116.242,,,,,,
47,0.046374,0.790018,10240,1,117.274,,,,,,
48,0.045537,1.65908,10240,1,117.958,,,,,,
49,0.046382,1.104013,10240,1,115.756,,,,,,
50,0.046164,1.326419,10240,1,121.48,125.73846839380775,0.9471146464347839,0.8697916865348816,2.2716455459594727,10,0.9889
51,0.045648,1.022822,10240,1,116.639,,,,,,
52,0.046065,1.32588,10240,1,111.057,,,,,,
53,0.045183,1.124949,10240,1,126.951,,,,,,
54,0.045905,1.194716,10240,1,128.388,,,,,,
55,0.045453,0.507132,10240,1,127.714,128.43057019542996,0.9480169415473938,0.8515625,2.2402970790863037,10,0.9889
56,0.045007,1.006099,10240,1,122.2,,,,,,
57,0.044891,0.963243,10240,1,121.169,,,,,,
58,0.045185,1.531061,10240,1,121.038,,,,,,
59,0.045255,0.797226,10240,1,118.818,,,,,,
60,0.044286,1.20054,10240,1,116.52,182.36747045387756,0.9535012245178223,0.8619791865348816,2.252851724624634,10,0.9889
61,0.04471,0.715601,10240,1,113.89,,,,,,
62,0.045144,1.452274,10240,1,116.142,,,,,,
63,0.0444,0.634054,10240,1,117.261,,,,,,
64,0.044411,1.785827,10240,1,112.602,,,,,,
65,0.044417,0.738361,10240,1,117.354,130.4136833699826,0.9481560587882996,0.8567708134651184,2.2761194705963135,10,0.9889
66,0.044537,0.639646,10240,1,115.12,,,,,,
67,0.044787,0.533931,10240,1,120.801,,,,,,
68,0.043855,0.522513,10240,1,121.889,,,,,,
69,0.044011,0.790574,10240,1,121.539,,,,,,
70,0.043886,1.450777,10240,1,117.137,131.75853698245146,0.9604485630989075,0.890625,2.2574901580810547,10,0.9889
71,0.044389,0.815064,10240,1,90.132,,,,,,
72,0.043235,1.191725,10240,1,84.278,,,,,,
73,0.044011,0.955971,10240,1,84.074,,,,,,
74,0.043687,1.037298,10240,1,80.89,,,,,,
75,0.043637,2.776941,10240,1,81.055,268.40341360213887,0.9494905471801758,0.8463541865348816,2.189824342727661,10,0.9889
76,0.043427,0.449885,10240,1,81.369,,,,,,
77,0.043648,0.836258,10240,1,82.064,,,,,,
78,0.043458,0.565877,10240,1,81.272,,,,,,
79,0.043644,0.954887,10240,1,80.46,,,,,,
80,0.043355,0.868297,10240,1,80.534,172.0776297264673,0.9620189070701599,0.8802083134651184,2.227921485900879,10,0.9889
81,0.043581,0.85743,10240,1,82.386,,,,,,
82,0.043658,1.111306,10240,1,83.387,,,,,,
83,0.043077,0.456526,10240,1,81.188,,,,,,
84,0.043758,0.534163,10240,1,81.012,,,,,,
85,0.043235,0.605685,10240,1,81.047,89.91058613384776,0.9461033940315247,0.8489583134651184,2.261059284210205,10,0.9889
86,0.043329,0.890603,10240,1,80.082,,,,,,
87,0.043555,1.336346,10240,1,79.933,,,,,,
88,0.043751,0.643207,10240,1,80.144,,,,,,
89,0.043431,1.102478,10240,1,80.592,,,,,,
90,0.043296,0.970842,10240,1,81.468,167.43105838330564,0.9597867131233215,0.8854166865348816,2.2397725582122803,10,0.9889
91,0.04339,2.233204,10240,1,81.745,,,,,,
92,0.042824,0.694769,10240,1,80.644,,,,,,
93,0.043286,0.643885,10240,1,80.292,,,,,,
94,0.043081,0.850913,10240,1,81.021,,,,,,
95,0.043643,0.729115,10240,1,81.192,136.06238636159958,0.9642263054847717,0.8932291865348816,2.2439844608306885,10,0.9889
96,0.042508,0.922366,10240,1,79.906,,,,,,
97,0.042436,0.739738,10240,1,80.749,,,,,,
98,0.043067,0.502605,10240,1,82.111,,,,,,
99,0.042998,0.721167,10240,1,80.698,,,,,,
100,0.042008,1.803061,10240,1,79.643,192.40639498900742,0.9698852896690369,0.9114583134651184,2.228922128677368,10,0.9889
