round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.793341,41.066898,60000,4,76.263,,,,,,
2,0.29519,16.172363,60000,4,77.087,,,,,,
3,0.21034,10.523215,60000,4,86.017,,,,,,
4,0.176313,11.625854,60000,4,89.172,,,,,,
5,0.156834,5.118808,60000,4,90.964,1704.8916015625,0.6128871440887451,0.1119791641831398,1.9213464260101318,10,0.9904
6,0.145384,12.342682,60000,4,90.472,,,,,,
7,0.132616,4.13541,60000,4,90.739,,,,,,
8,0.123156,7.306977,60000,4,89.446,,,,,,
9,0.115207,6.046908,60000,4,84.562,,,,,,
10,0.111481,3.404016,60000,4,85.671,1289.8060302734375,0.6941247582435608,0.2239583283662796,1.8920222520828247,10,0.9904
11,0.110305,8.348096,60000,4,87.448,,,,,,
12,0.103651,4.894127,60000,4,85.174,,,,,,
13,0.100819,6.435972,60000,4,85.391,,,,,,
14,0.101905,4.526086,60000,4,87.628,,,,,,
15,0.096192,5.562511,60000,4,88.685,1098.2418212890625,0.7347941994667053,0.28125,1.9863661527633667,10,0.9904
16,0.094506,5.278839,60000,4,88.665,,,,,,
17,0.093207,4.168371,60000,4,86.75,,,,,,
18,0.092141,7.538151,60000,4,85.996,,,,,,
19,0.092276,3.56769,60000,4,86.291,,,,,,
20,0.088952,8.760833,60000,4,90.62,1045.69970703125,0.733363926410675,0.3020833432674408,1.9492018222808838,10,0.9904
21,0.087511,6.821744,60000,4,85.328,,,,,,
22,0.08779,5.921251,60000,4,85.954,,,,,,
23,0.084659,3.718987,60000,4,85.115,,,,,,
24,0.085949,8.708208,60000,4,86.038,,,,,,
25,0.083947,4.262658,60000,4,85.182,944.6436767578125,0.7743209004402161,0.3671875,1.9722965955734253,10,0.9904
26,0.084909,6.973649,60000,4,86.21,,,,,,
27,0.084356,5.865273,60000,4,84.646,,,,,,
28,0.082624,8.774884,60000,4,84.561,,,,,,
29,0.081869,5.351233,60000,4,84.142,,,,,,
30,0.080707,9.849705,60000,4,84.626,973.61376953125,0.764188289642334,0.359375,1.8364259004592896,9,0.9904
31,0.08125,6.334162,60000,4,83.735,,,,,,
32,0.080759,8.654139,60000,4,84.237,,,,,,
33,0.079657,5.931673,60000,4,84.574,,,,,,
34,0.079967,5.813685,60000,4,84.071,,,,,,
35,0.079124,7.777802,60000,4,83.442,929.4042358398438,0.7704160809516907,0.3932291567325592,1.992281436920166,10,0.9904
36,0.079685,7.510455,60000,4,79.061,,,,,,
37,0.077856,6.102759,60000,4,78.801,,,,,,
38,0.077602,6.556437,60000,4,79.438,,,,,,
39,0.076877,5.922642,60000,4,79.254,,,,,,
40,0.0757,6.74267,60000,4,79.59,844.1590576171875,0.7798115611076355,0.3880208432674408,2.0284652709960938,10,0.9904
41,0.07598,4.892679,60000,4,80.093,,,,,,
42,0.075791,8.743097,60000,4,79.368,,,,,,
43,0.074883,5.241859,60000,4,79.674,,,,,,
44,0.074508,5.937272,60000,4,79.466,,,,,,
