round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,0.769133,32.217617,512,1,194.557,,,,,,
2,0.295322,33.231918,512,1,180.69,,,,,,
3,0.197918,25.072269,512,1,180.783,,,,,,
4,0.166791,22.63159,512,1,184.444,,,,,,
5,0.135649,42.247158,512,1,184.157,256.8577880859375,0.4532925486564636,0.0,0.5715077519416809,3,0.4375
6,0.131295,20.13106,512,1,189.929,,,,,,
7,0.10579,20.221445,512,1,7303.733,,,,,,
8,0.116091,20.075293,512,1,181.994,,,,,,
9,0.110502,18.281208,512,1,182.187,,,,,,
10,0.106672,28.280895,512,1,182.625,335.3236999511719,0.482290655374527,0.0,0.5969757437705994,3,0.4375
11,0.101242,22.177433,512,1,181.803,,,,,,
12,0.102861,18.781662,512,1,180.328,,,,,,
13,0.104184,19.577858,512,1,180.256,,,,,,
14,0.08945,26.159721,512,1,181.817,,,,,,
15,0.096342,23.103668,512,1,185.046,154.07423400878906,0.37062251567840576,0.0,1.1275194883346558,8,0.4375
16,0.078274,18.499537,512,1,180.331,,,,,,
17,0.091864,20.326923,512,1,180.325,,,,,,
18,0.090675,21.366596,512,1,180.214,,,,,,
19,0.083798,27.950016,512,1,180.481,,,,,,
20,0.086646,20.506443,512,1,180.53,194.33334350585938,0.2830481231212616,0.0,1.4547643661499023,7,0.4375
21,0.084045,23.234959,512,1,180.325,,,,,,
22,0.084825,20.549044,512,1,180.383,,,,,,
23,0.081886,18.304682,512,1,180.271,,,,,,
24,0.079975,19.447378,512,1,180.521,,,,,,
25,0.076799,24.421143,512,1,180.525,237.55520629882812,0.4012654721736908,0.0,1.0639148950576782,5,0.4375
26,0.074416,22.833549,512,1,180.341,,,,,,
27,0.082498,19.021408,512,1,180.216,,,,,,
28,0.08044,30.117435,512,1,180.363,,,,,,
29,0.074051,20.115084,512,1,180.364,,,,,,
30,0.079321,23.632095,512,1,180.398,141.06007385253906,0.3098051846027374,0.0,1.1904679536819458,8,0.4375
31,0.077897,20.538475,512,1,180.145,,,,,,
32,0.072153,17.962799,512,1,180.315,,,,,,
33,0.07468,20.762051,512,1,180.065,,,,,,
34,0.079305,18.261965,512,1,180.281,,,,,,
35,0.080317,22.285437,512,1,180.355,364.43975830078125,0.33421918749809265,0.0,0.14715805649757385,4,0.4375
36,0.080551,30.755814,512,1,180.223,,,,,,
37,0.074592,20.251848,512,1,180.257,,,,,,
38,0.072447,27.541578,512,1,180.326,,,,,,
39,0.081868,18.704542,512,1,180.073,,,,,,
40,0.078006,22.836506,512,1,180.546,162.54202270507812,0.4349360764026642,0.0,1.141832947731018,5,0.4375
41,0.064304,18.991024,512,1,180.126,,,,,,
42,0.07287,24.288675,512,1,180.158,,,,,,
43,0.071793,23.067348,512,1,180.238,,,,,,
44,0.07291,28.309414,512,1,180.375,,,,,,
45,0.070608,21.608765,512,1,180.444,159.576171875,0.46941864490509033,0.0,1.0812296867370605,4,0.4375
46,0.069378,17.808552,512,1,180.294,,,,,,
47,0.07188,19.284859,512,1,180.108,,,,,,
48,0.071371,19.485941,512,1,180.431,,,,,,
49,0.068115,26.279833,512,1,180.241,,,,,,
50,0.079665,20.204174,512,1,180.328,151.52273559570312,0.2870246171951294,0.0,1.6752521991729736,9,0.4375
51,0.076671,18.313992,512,1,180.103,,,,,,
52,0.067413,20.760267,512,1,179.992,,,,,,
