round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,1.352145,27.891919,384,1,109.651,,,,,,
2,0.365609,30.503835,384,1,109.262,,,,,,
3,0.224092,55.534837,384,1,109.344,,,,,,
4,0.169436,42.759551,384,1,109.476,,,,,,
5,0.147512,35.669288,384,1,109.485,,,,,,
6,0.111297,24.101095,384,1,109.482,,,,,,
7,0.111364,18.134353,384,1,109.471,,,,,,
8,0.118796,24.732064,384,1,109.487,,,,,,
9,0.117001,27.152892,384,1,109.493,,,,,,
10,0.09919,16.352874,384,1,109.521,128.34334396704074,0.4124700427055359,0.0,1.3507812023162842,9,0.4375
11,0.111761,19.020371,384,1,109.471,,,,,,
12,0.082307,27.618909,384,1,109.447,,,,,,
13,0.083703,14.940977,384,1,109.485,,,,,,
14,0.094646,32.09423,384,1,109.467,,,,,,
15,0.100781,43.041174,384,1,109.449,,,,,,
16,0.089265,43.267499,384,1,109.493,,,,,,
17,0.071472,23.097079,384,1,109.472,,,,,,
18,0.084865,35.870247,384,1,109.449,,,,,,
19,0.075064,61.258084,384,1,109.452,,,,,,
20,0.079094,32.435167,384,1,109.504,213.141795903883,0.5463582277297974,0.00390625,0.8031969666481018,7,0.4375
21,0.079313,76.614595,384,1,109.448,,,,,,
22,0.078687,11.507166,384,1,109.457,,,,,,
23,0.075918,46.074157,384,1,109.446,,,,,,
24,0.087763,11.417977,384,1,109.447,,,,,,
25,0.081419,44.097452,384,1,109.449,,,,,,
26,0.068747,18.17957,384,1,109.43,,,,,,
27,0.073259,9.078167,384,1,109.45,,,,,,
28,0.076701,11.472346,384,1,109.456,,,,,,
29,0.069796,28.97098,384,1,109.462,,,,,,
30,0.077795,11.747329,384,1,109.504,110.49554109484092,0.3422420620918274,0.0,1.813305139541626,9,0.4375
31,0.067102,14.207417,384,1,109.467,,,,,,
32,0.075523,54.330691,384,1,109.436,,,,,,
33,0.058584,23.51966,384,1,109.43,,,,,,
34,0.080113,17.188242,384,1,109.436,,,,,,
35,0.066819,12.462819,384,1,109.463,,,,,,
36,0.064069,11.848584,384,1,109.456,,,,,,
37,0.066777,12.782176,384,1,109.424,,,,,,
38,0.069921,14.563782,384,1,109.428,,,,,,
39,0.071012,12.121426,384,1,109.439,,,,,,
40,0.063558,33.720963,384,1,109.462,637.4723092139436,0.6059736013412476,0.00390625,0.6389204263687134,3,0.4375
41,0.07714,52.457363,384,1,109.428,,,,,,
42,0.068779,38.541493,384,1,109.417,,,,,,
43,0.069809,53.386271,384,1,109.468,,,,,,
44,0.061468,12.376367,384,1,109.525,,,,,,
45,0.064257,9.767601,384,1,109.466,,,,,,
46,0.066393,15.389023,384,1,109.45,,,,,,
47,0.052664,23.956207,384,1,109.463,,,,,,
48,0.061862,32.681549,384,1,109.465,,,,,,
49,0.05714,52.897389,384,1,109.453,,,,,,
50,0.062323,23.448669,384,1,109.477,286.59239347259887,0.3113144636154175,0.0,1.0419578552246094,4,0.4375
51,0.061512,49.371571,384,1,109.432,,,,,,
52,0.063849,17.080363,384,1,109.465,,,,,,
53,0.067293,45.35258,384,1,109.451,,,,,,
54,0.061392,53.426476,384,1,109.456,,,,,,
55,0.06935,12.012554,384,1,109.429,,,,,,
56,0.058169,41.502014,384,1,109.439,,,,,,
57,0.054008,41.472188,384,1,109.466,,,,,,
58,0.053548,13.063443,384,1,109.456,,,,,,
59,0.066177,49.631088,384,1,109.459,,,,,,
60,0.062448,24.953517,384,1,109.498,101.00915325821524,0.4046541750431061,0.0,1.4749946594238281,9,0.4375
61,0.064299,11.90016,384,1,109.438,,,,,,
62,0.061302,16.1938,384,1,109.434,,,,,,
63,0.057898,19.167301,384,1,109.426,,,,,,
64,0.064056,64.299637,384,1,109.44,,,,,,
65,0.059406,12.077556,384,1,109.435,,,,,,
66,0.063049,16.82177,384,1,109.422,,,,,,
67,0.06427,9.411136,384,1,109.464,,,,,,
68,0.067784,19.023539,384,1,109.422,,,,,,
69,0.067368,36.521694,384,1,109.437,,,,,,
70,0.057126,11.888309,384,1,109.483,101.98410457364764,0.45344293117523193,0.0,1.4966418743133545,9,0.4375
71,0.057839,13.510544,384,1,109.429,,,,,,
72,0.055285,42.91851,384,1,109.428,,,,,,
73,0.059887,11.069617,384,1,109.424,,,,,,
74,0.058391,44.921634,384,1,109.403,,,,,,
75,0.063916,17.961834,384,1,109.433,,,,,,
76,0.056647,34.959061,384,1,109.422,,,,,,
