round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,1.10839,71.949846,384,1,112.601,,,,,,
2,0.282707,60.009724,384,1,111.888,,,,,,
3,0.202408,50.199204,384,1,111.796,,,,,,
4,0.191016,47.587163,384,1,112.185,,,,,,
5,0.147631,22.276085,384,1,111.911,,,,,,
6,0.141916,20.678769,384,1,111.825,,,,,,
7,0.117892,22.929524,384,1,111.876,,,,,,
8,0.113014,110.616578,384,1,111.861,,,,,,
9,0.103723,21.430141,384,1,111.921,,,,,,
10,0.105086,30.479323,384,1,112.074,,,,,,
11,0.093251,63.753958,384,1,112.002,,,,,,
12,0.096083,38.625306,384,1,111.907,,,,,,
13,0.083655,25.825107,384,1,111.968,,,,,,
14,0.083674,79.022063,384,1,111.937,,,,,,
15,0.081298,20.785283,384,1,111.965,,,,,,
16,0.07868,15.089226,384,1,111.964,,,,,,
17,0.083411,36.362772,384,1,111.855,,,,,,
18,0.072707,36.884714,384,1,111.976,,,,,,
19,0.069446,47.683587,384,1,111.972,,,,,,
20,0.080787,17.960385,384,1,112.006,216.53343737932295,0.31396588683128357,0.0,0.9057630300521851,6,0.4375
21,0.066062,27.587004,384,1,112.01,,,,,,
22,0.091584,46.189649,384,1,111.934,,,,,,
23,0.069087,17.06081,384,1,111.961,,,,,,
24,0.072854,104.732033,384,1,111.956,,,,,,
25,0.076023,92.267492,384,1,111.991,,,,,,
26,0.069493,120.090712,384,1,111.992,,,,,,
27,0.06348,30.257595,384,1,111.951,,,,,,
28,0.066293,16.617253,384,1,112.033,,,,,,
29,0.070775,49.77763,384,1,111.948,,,,,,
30,0.077184,22.950716,384,1,111.871,,,,,,
31,0.062498,54.681004,384,1,111.918,,,,,,
32,0.058359,16.934909,384,1,112.008,,,,,,
33,0.064995,93.642378,384,1,111.915,,,,,,
34,0.066531,28.040322,384,1,111.895,,,,,,
35,0.065109,15.044459,384,1,111.945,,,,,,
36,0.049577,65.170508,384,1,111.948,,,,,,
37,0.069633,59.708237,384,1,111.979,,,,,,
38,0.071613,19.495927,384,1,112.019,,,,,,
39,0.057218,39.864113,384,1,111.983,,,,,,
40,0.056101,38.038583,384,1,112.32,189.4718381794049,0.5118311047554016,0.0,1.1335222721099854,4,0.4375
41,0.063758,14.350725,384,1,111.894,,,,,,
42,0.0604,17.412643,384,1,111.964,,,,,,
43,0.05141,46.566858,384,1,111.942,,,,,,
44,0.060444,73.394445,384,1,112.062,,,,,,
45,0.062644,25.135348,384,1,111.922,,,,,,
46,0.053972,16.631672,384,1,111.961,,,,,,
47,0.059097,15.448458,384,1,111.974,,,,,,
48,0.066981,58.664932,384,1,112.011,,,,,,
49,0.060812,40.626418,384,1,112.086,,,,,,
50,0.054507,25.940913,384,1,112.024,,,,,,
51,0.062214,50.788548,384,1,111.985,,,,,,
52,0.056767,24.088227,384,1,111.981,,,,,,
53,0.058555,19.273398,384,1,111.983,,,,,,
54,0.052128,38.221947,384,1,111.945,,,,,,
55,0.060304,38.067624,384,1,111.94,,,,,,
56,0.055226,23.931086,384,1,111.961,,,,,,
57,0.059566,34.043213,384,1,112.034,,,,,,
58,0.052996,161.038155,384,1,111.951,,,,,,
59,0.055492,15.234779,384,1,111.926,,,,,,
60,0.060258,26.138171,384,1,111.989,63.258394201206045,0.43129807710647583,0.015625,1.5876739025115967,6,0.4375
61,0.054662,19.121929,384,1,111.955,,,,,,
62,0.052433,21.812869,384,1,111.91,,,,,,
63,0.057385,43.862706,384,1,111.931,,,,,,
64,0.062093,52.656856,384,1,111.917,,,,,,
65,0.058599,74.156335,384,1,111.989,,,,,,
66,0.05637,39.469619,384,1,111.916,,,,,,
