round,avg_client_loss,proxy_fid,total_samples,aggregated_clients,round_duration_sec,classifier_fid,top1_confidence_mean,top1_confident_ratio,predicted_class_entropy,predicted_unique_classes,evaluator_test_accuracy
1,1.462248,29.000208,192,1,93.628,,,,,,
2,0.460092,39.26005,192,1,93.024,,,,,,
3,0.271691,25.772069,192,1,93.001,,,,,,
4,0.28698,97.485309,192,1,93.157,,,,,,
5,0.188566,48.120416,192,1,92.989,,,,,,
6,0.175067,65.993575,192,1,93.132,,,,,,
7,0.145555,19.540133,192,1,93.243,,,,,,
8,0.140006,82.439174,192,1,93.07,,,,,,
9,0.131955,138.735567,192,1,93.181,,,,,,
10,0.145342,79.375635,192,1,93.125,,,,,,
11,0.113291,67.323954,192,1,93.052,,,,,,
12,0.119862,71.004379,192,1,93.146,,,,,,
13,0.090643,27.527124,192,1,92.955,,,,,,
14,0.096839,27.355438,192,1,93.016,,,,,,
15,0.099234,21.802239,192,1,93.103,,,,,,
16,0.096036,82.385978,192,1,93.118,,,,,,
17,0.103895,20.044207,192,1,92.996,,,,,,
18,0.097116,77.383267,192,1,92.992,,,,,,
19,0.077094,86.979247,192,1,93.005,,,,,,
20,0.0954,52.172909,192,1,93.124,320.21006446437167,0.5935203433036804,0.0,-0.0,1,0.4375
21,0.065409,32.786786,192,1,93.061,,,,,,
22,0.113465,24.485218,192,1,93.102,,,,,,
23,0.096402,28.538494,192,1,93.02,,,,,,
24,0.078661,45.259524,192,1,93.075,,,,,,
25,0.071814,40.595847,192,1,93.012,,,,,,
26,0.086641,79.774104,192,1,93.094,,,,,,
27,0.081947,76.323019,192,1,93.088,,,,,,
28,0.087245,21.536111,192,1,93.138,,,,,,
29,0.07224,50.136353,192,1,93.111,,,,,,
30,0.086149,47.955001,192,1,93.083,,,,,,
31,0.076684,17.567824,192,1,93.069,,,,,,
32,0.067266,23.20322,192,1,93.198,,,,,,
33,0.086638,54.769426,192,1,93.152,,,,,,
34,0.070091,16.850624,192,1,93.146,,,,,,
35,0.081359,24.41806,192,1,93.113,,,,,,
36,0.070175,41.581823,192,1,93.053,,,,,,
37,0.071793,15.660117,192,1,93.136,,,,,,
38,0.075236,14.069119,192,1,93.076,,,,,,
39,0.068698,54.298853,192,1,93.122,,,,,,
40,0.062607,73.76806,192,1,93.086,180.415443928449,0.44932737946510315,0.0,1.1577794551849365,4,0.4375
41,0.075667,21.715259,192,1,93.039,,,,,,
42,0.079915,32.18661,192,1,93.226,,,,,,
43,0.067915,82.971543,192,1,92.976,,,,,,
44,0.069299,21.491739,192,1,93.021,,,,,,
45,0.071399,18.183993,192,1,93.01,,,,,,
46,0.062354,47.283314,192,1,93.007,,,,,,
47,0.071852,52.217299,192,1,93.01,,,,,,
48,0.080389,25.003186,192,1,93.141,,,,,,
49,0.069393,56.223611,192,1,92.997,,,,,,
50,0.069715,70.37247,192,1,92.989,,,,,,
51,0.075859,21.177626,192,1,92.997,,,,,,
52,0.053552,48.78421,192,1,93.017,,,,,,
53,0.065576,19.991568,192,1,93.094,,,,,,
54,0.062995,20.825379,192,1,93.022,,,,,,
55,0.061635,59.385244,192,1,93.081,,,,,,
56,0.063789,79.147935,192,1,92.987,,,,,,
57,0.073341,51.601597,192,1,93.138,,,,,,
58,0.066292,90.26559,192,1,93.106,,,,,,
59,0.060975,40.825732,192,1,93.078,,,,,,
60,0.069774,15.807954,192,1,93.188,53.918910894249066,0.41683873534202576,0.0,1.7106363773345947,6,0.4375
61,0.065146,34.015971,192,1,92.952,,,,,,
62,0.059173,24.795925,192,1,93.113,,,,,,
63,0.05776,23.609968,192,1,92.996,,,,,,
64,0.075789,32.96542,192,1,93.192,,,,,,
65,0.068438,33.91418,192,1,93.116,,,,,,
66,0.064232,36.960666,192,1,93.032,,,,,,
67,0.052089,17.452971,192,1,93.094,,,,,,
68,0.071419,67.444643,192,1,93.2,,,,,,
69,0.065017,45.157073,192,1,93.12,,,,,,
70,0.057582,58.455567,192,1,93.155,,,,,,
71,0.056747,48.814269,192,1,93.176,,,,,,
72,0.057637,43.717243,192,1,93.24,,,,,,
73,0.074868,64.6207,192,1,93.2,,,,,,
74,0.053703,18.960546,192,1,92.997,,,,,,
75,0.062797,22.346945,192,1,93.022,,,,,,
76,0.073937,74.325166,192,1,93.133,,,,,,
77,0.060855,24.719098,192,1,93.126,,,,,,
78,0.0602,72.054555,192,1,93.022,,,,,,
79,0.05513,37.936329,192,1,93.005,,,,,,
80,0.058132,186.350557,192,1,93.162,2792.605071050246,0.4949992895126343,0.0,0.6690268516540527,2,0.4375
81,0.061076,30.144434,192,1,93.129,,,,,,
82,0.056275,24.932781,192,1,93.081,,,,,,
83,0.058562,27.65589,192,1,93.013,,,,,,
84,0.058276,64.536003,192,1,93.034,,,,,,
85,0.055426,46.68926,192,1,93.201,,,,,,
86,0.059013,17.702378,192,1,93.16,,,,,,
87,0.059002,59.139316,192,1,93.105,,,,,,
88,0.055795,67.623882,192,1,93.075,,,,,,
89,0.063026,29.678867,192,1,93.07,,,,,,
90,0.05363,23.655304,192,1,93.2,,,,,,
91,0.055023,67.1504,192,1,93.122,,,,,,
92,0.053258,29.932704,192,1,92.993,,,,,,
93,0.062012,25.814006,192,1,93.147,,,,,,
94,0.071791,49.719729,192,1,93.046,,,,,,
95,0.070916,140.822799,192,1,93.187,,,,,,
96,0.052736,25.425986,192,1,93.129,,,,,,
97,0.054847,21.994355,192,1,93.11,,,,,,
98,0.05385,61.761953,192,1,93.13,,,,,,
99,0.050862,21.502364,192,1,93.186,,,,,,
100,0.062947,56.275438,192,1,93.174,165.86276931368675,0.4176570475101471,0.0,0.5418812036514282,5,0.4375
101,0.058715,55.274378,192,1,93.249,,,,,,
102,0.056038,38.494625,192,1,93.088,,,,,,
103,0.060912,22.051678,192,1,93.304,,,,,,
104,0.075308,52.93855,192,1,93.24,,,,,,
105,0.051269,37.24002,192,1,93.073,,,,,,
106,0.054705,24.867236,192,1,92.999,,,,,,
107,0.048213,22.946598,192,1,93.038,,,,,,
108,0.056631,137.968258,192,1,93.143,,,,,,
109,0.05383,29.690129,192,1,93.036,,,,,,
110,0.060604,27.818409,192,1,93.137,,,,,,
111,0.063077,38.196867,192,1,93.173,,,,,,
112,0.0481,36.289315,192,1,93.227,,,,,,
113,0.061548,28.795252,192,1,93.164,,,,,,
114,0.049159,36.195381,192,1,93.168,,,,,,
115,0.06177,22.876792,192,1,93.193,,,,,,
116,0.046856,17.873497,192,1,93.114,,,,,,
117,0.044582,43.035504,192,1,93.222,,,,,,
118,0.065394,38.119055,192,1,93.144,,,,,,
119,0.062552,22.089493,192,1,93.135,,,,,,
120,0.050141,20.740774,192,1,93.226,94.5440143247742,0.3920205235481262,0.0,1.6978282928466797,7,0.4375
121,0.05301,29.737264,192,1,93.163,,,,,,
122,0.043697,71.452959,192,1,93.244,,,,,,
123,0.057298,20.857274,192,1,93.067,,,,,,
124,0.059944,22.58254,192,1,93.13,,,,,,
125,0.050224,45.908435,192,1,93.168,,,,,,
126,0.050308,27.151474,192,1,93.81,,,,,,
127,0.047374,17.016225,192,1,93.886,,,,,,
128,0.052193,61.200718,192,1,93.893,,,,,,
129,0.048901,22.103227,192,1,93.782,,,,,,
130,0.073704,87.992219,192,1,94.214,,,,,,
131,0.050852,27.656086,192,1,93.795,,,,,,
132,0.039538,29.248877,192,1,93.703,,,,,,
133,0.042415,37.432033,192,1,93.678,,,,,,
