round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.316958,"[0, 3]",28426,0,0.163438,0.165764,0.151155,19.608077,13912126,13916388,6956063.0,6958194.0,2,2,34.562
2,0.28051,"[2, 0]",25634,0,0.186489,0.192142,0.175249,19.612504,13912126,13916388,6956063.0,6958194.0,2,2,31.936
3,0.296082,"[1, 0]",39432,0,0.193523,0.196938,0.180698,19.618799,13912126,13916388,6956063.0,6958194.0,2,2,30.252
4,0.345165,"[0, 2]",25634,0,0.206961,0.209787,0.19771,19.627224,13912126,13916388,6956063.0,6958194.0,2,2,30.224
5,0.292607,"[0, 2]",25634,0,0.224283,0.2246,0.21786,19.6385,13912126,13916388,6956063.0,6958194.0,2,2,30.198
6,0.234162,"[3, 0]",28426,0,0.213904,0.218711,0.201933,19.650524,13912126,13916388,6956063.0,6958194.0,2,2,29.385
7,0.272672,"[0, 3]",28426,0,0.222196,0.223815,0.213783,19.665304,13912126,13916388,6956063.0,6958194.0,2,2,29.326
8,0.255006,"[1, 0]",39432,0,0.218435,0.220847,0.20353,19.680657,13912126,13916388,6956063.0,6958194.0,2,2,31.559
9,0.196788,"[0, 2]",25634,0,0.231798,0.232645,0.225765,19.699309,13912126,13916388,6956063.0,6958194.0,2,2,30.401
10,0.18757,"[1, 2]",21574,0,0.209412,0.210619,0.198762,19.716304,13912126,13916388,6956063.0,6958194.0,2,2,29.982
11,0.244442,"[3, 0]",28426,0,0.209638,0.22503,0.205277,19.735226,13912126,13916388,6956063.0,6958194.0,2,2,28.569
12,0.20811,"[3, 2]",10568,0,0.195594,0.199952,0.174702,19.750723,13912126,13916388,6956063.0,6958194.0,2,2,29.47
13,0.120459,"[2, 0]",25634,0,0.172396,0.190868,0.175624,19.766795,13912126,13916388,6956063.0,6958194.0,2,2,28.415
14,0.19436,"[1, 2]",21574,0,0.17198,0.181894,0.148238,19.778448,13912126,13916388,6956063.0,6958194.0,2,2,28.321
15,0.142389,"[3, 1]",24366,0,0.153948,0.179516,0.145643,19.79175,13912126,13916388,6956063.0,6958194.0,2,2,27.77
16,0.221087,"[2, 0]",25634,0,0.139119,0.141026,0.126487,19.792628,13912126,13916388,6956063.0,6958194.0,2,2,30.317
17,0.132475,"[1, 3]",24366,0,0.150366,0.165417,0.136462,19.804218,13912126,13916388,6956063.0,6958194.0,2,2,38.794
18,0.20976,"[0, 3]",28426,0,0.155234,0.161224,0.137705,19.814265,13912126,13916388,6956063.0,6958194.0,2,2,29.195
19,0.199042,"[3, 0]",28426,0,0.136298,0.139434,0.114048,19.813125,13912126,13916388,6956063.0,6958194.0,2,2,28.396
20,0.12126,"[2, 1]",21574,0,0.129231,0.14538,0.122742,19.817523,13912126,13916388,6956063.0,6958194.0,2,2,28.612
21,0.26097,"[2, 0]",25634,0,0.152959,0.15319,0.132927,19.822166,13912126,13916388,6956063.0,6958194.0,2,2,28.229
22,0.092386,"[3, 2]",10568,0,0.114326,0.117173,0.084061,19.823928,13912126,13916388,6956063.0,6958194.0,2,2,28.721
23,0.171742,"[0, 1]",39432,0,0.127848,0.13378,0.094425,19.82795,13912126,13916388,6956063.0,6958194.0,2,2,28.077
24,0.171731,"[0, 2]",25634,0,0.144472,0.146054,0.129143,19.82377,13912126,13916388,6956063.0,6958194.0,2,2,29.413
25,0.125112,"[2, 3]",10568,0,0.153605,0.162746,0.131832,19.835555,13912126,13916388,6956063.0,6958194.0,2,2,29.976
26,0.19732,"[2, 3]",10568,0,0.149276,0.157593,0.109606,19.83855,13912126,13916388,6956063.0,6958194.0,2,2,29.473
27,0.174872,"[1, 2]",21574,0,0.134327,0.148766,0.106573,19.842029,13912126,13916388,6956063.0,6958194.0,2,2,28.682
28,0.146712,"[0, 3]",28426,0,0.127277,0.135166,0.107942,19.840638,13912126,13916388,6956063.0,6958194.0,2,2,28.377
29,0.19419,"[1, 3]",24366,0,0.142648,0.153166,0.110805,19.844722,13912126,13916388,6956063.0,6958194.0,2,2,28.725
30,0.200335,"[0, 3]",28426,0,0.148542,0.164575,0.133101,19.855343,13912126,13916388,6956063.0,6958194.0,2,2,29.404
31,0.243707,"[0, 1]",39432,0,0.156338,0.157478,0.121657,19.865082,13912126,13916388,6956063.0,6958194.0,2,2,28.229
32,0.209163,"[2, 1]",21574,0,0.141439,0.147762,0.116407,19.870287,13912126,13916388,6956063.0,6958194.0,2,2,30.422
33,0.200103,"[2, 0]",25634,0,0.146686,0.153786,0.124299,19.871531,13912126,13916388,6956063.0,6958194.0,2,2,33.238
34,0.138719,"[2, 1]",21574,0,0.141037,0.151014,0.115827,19.878893,13912126,13916388,6956063.0,6958194.0,2,2,33.873
35,0.144704,"[1, 2]",21574,0,0.131113,0.150288,0.123524,19.876758,13912126,13916388,6956063.0,6958194.0,2,2,30.313
36,0.207028,"[2, 3]",10568,0,0.139885,0.147006,0.101189,19.877368,13912126,13916388,6956063.0,6958194.0,2,2,30.427
37,0.154658,"[0, 2]",25634,0,0.149752,0.151038,0.134458,19.88902,13912126,13916388,6956063.0,6958194.0,2,2,31.085
