round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.286524,[0],60000,0,0.166771,0.166771,0.166771,19.608485,0,0,0.0,0.0,0,0,7.34
2,0.147331,[0],60000,0,0.197419,0.197419,0.197419,19.613945,0,0,0.0,0.0,0,0,5.869
3,0.208342,[0],60000,0,0.212793,0.212793,0.212793,19.621875,0,0,0.0,0.0,0,0,6.203
4,0.177637,[0],60000,0,0.196962,0.196962,0.196962,19.630474,0,0,0.0,0.0,0,0,6.412
5,0.191694,[0],60000,0,0.18942,0.18942,0.18942,19.640106,0,0,0.0,0.0,0,0,6.279
6,0.173788,[0],60000,0,0.189481,0.189481,0.189481,19.650951,0,0,0.0,0.0,0,0,6.168
7,0.137458,[0],60000,0,0.208417,0.208417,0.208417,19.664399,0,0,0.0,0.0,0,0,6.067
8,0.291834,[0],60000,0,0.216592,0.216592,0.216592,19.680261,0,0,0.0,0.0,0,0,5.897
9,0.201464,[0],60000,0,0.214519,0.214519,0.214519,19.697557,0,0,0.0,0.0,0,0,5.879
10,0.117683,[0],60000,0,0.179994,0.179994,0.179994,19.710944,0,0,0.0,0.0,0,0,5.791
11,0.120287,[0],60000,0,0.185622,0.185622,0.185622,19.725547,0,0,0.0,0.0,0,0,6.02
12,0.090647,[0],60000,0,0.160927,0.160927,0.160927,19.736768,0,0,0.0,0.0,0,0,5.574
13,0.174941,[0],60000,0,0.17157,0.17157,0.17157,19.748842,0,0,0.0,0.0,0,0,5.998
14,0.125241,[0],60000,0,0.1603,0.1603,0.1603,19.761403,0,0,0.0,0.0,0,0,5.83
15,0.172994,[0],60000,0,0.168324,0.168324,0.168324,19.772877,0,0,0.0,0.0,0,0,5.675
16,0.143323,[0],60000,0,0.160293,0.160293,0.160293,19.78291,0,0,0.0,0.0,0,0,5.716
17,0.109219,[0],60000,0,0.169715,0.169715,0.169715,19.7945,0,0,0.0,0.0,0,0,5.54
18,0.111175,[0],60000,0,0.145211,0.145211,0.145211,19.803786,0,0,0.0,0.0,0,0,5.674
19,0.137459,[0],60000,0,0.1524,0.1524,0.1524,19.811741,0,0,0.0,0.0,0,0,5.67
20,0.074654,[0],60000,0,0.151283,0.151283,0.151283,19.821503,0,0,0.0,0.0,0,0,5.806
21,0.156024,[0],60000,0,0.163587,0.163587,0.163587,19.834689,0,0,0.0,0.0,0,0,5.989
22,0.157579,[0],60000,0,0.164611,0.164611,0.164611,19.844141,0,0,0.0,0.0,0,0,5.615
23,0.109481,[0],60000,0,0.137054,0.137054,0.137054,19.846165,0,0,0.0,0.0,0,0,6.044
24,0.114479,[0],60000,0,0.151434,0.151434,0.151434,19.858354,0,0,0.0,0.0,0,0,5.948
25,0.054849,[0],60000,0,0.118265,0.118265,0.118265,19.861386,0,0,0.0,0.0,0,0,5.649
26,0.100955,[0],60000,0,0.136473,0.136473,0.136473,19.865216,0,0,0.0,0.0,0,0,5.807
27,0.064129,[0],60000,0,0.149743,0.149743,0.149743,19.876457,0,0,0.0,0.0,0,0,5.714
28,0.193802,[0],60000,0,0.133329,0.133329,0.133329,19.88121,0,0,0.0,0.0,0,0,5.891
29,0.143026,[0],60000,0,0.126582,0.126582,0.126582,19.888451,0,0,0.0,0.0,0,0,5.958
30,0.056028,[0],60000,0,0.155708,0.155708,0.155708,19.901272,0,0,0.0,0.0,0,0,5.872
31,0.130919,[0],60000,0,0.141539,0.141539,0.141539,19.899976,0,0,0.0,0.0,0,0,5.94
32,0.14564,[0],60000,0,0.142898,0.142898,0.142898,19.911794,0,0,0.0,0.0,0,0,5.654
33,0.099412,[0],60000,0,0.137589,0.137589,0.137589,19.920626,0,0,0.0,0.0,0,0,5.865
34,0.093721,[0],60000,0,0.127697,0.127697,0.127697,19.923793,0,0,0.0,0.0,0,0,6.236
35,0.093064,[0],60000,0,0.147924,0.147924,0.147924,19.935574,0,0,0.0,0.0,0,0,5.618
36,0.14538,[0],60000,0,0.152696,0.152696,0.152696,19.942161,0,0,0.0,0.0,0,0,5.926
37,0.084101,[0],60000,0,0.140544,0.140544,0.140544,19.954532,0,0,0.0,0.0,0,0,5.756
38,0.119877,[0],60000,0,0.127737,0.127737,0.127737,19.960723,0,0,0.0,0.0,0,0,6.063
39,0.073429,[0],60000,0,0.106948,0.106948,0.106948,19.963382,0,0,0.0,0.0,0,0,6.018
40,0.071543,[0],60000,0,0.13981,0.13981,0.13981,19.970736,0,0,0.0,0.0,0,0,5.975
41,0.108672,[0],60000,0,0.145005,0.145005,0.145005,19.977198,0,0,0.0,0.0,0,0,6.071
42,0.191106,[0],60000,0,0.146755,0.146755,0.146755,19.975694,0,0,0.0,0.0,0,0,6.316
43,0.091669,[0],60000,0,0.153145,0.153145,0.153145,19.97688,0,0,0.0,0.0,0,0,6.359
44,0.024973,[0],60000,0,0.120359,0.120359,0.120359,19.982967,0,0,0.0,0.0,0,0,6.288
45,0.070565,[0],60000,0,0.135657,0.135657,0.135657,19.980637,0,0,0.0,0.0,0,0,6.218
46,0.141014,[0],60000,0,0.135361,0.135361,0.135361,19.982289,0,0,0.0,0.0,0,0,5.799
47,0.107178,[0],60000,0,0.144388,0.144388,0.144388,19.989766,0,0,0.0,0.0,0,0,6.041
48,0.094778,[0],60000,0,0.132537,0.132537,0.132537,19.984247,0,0,0.0,0.0,0,0,5.664
49,0.058286,[0],60000,0,0.127251,0.127251,0.127251,19.98895,0,0,0.0,0.0,0,0,5.861
50,0.103443,[0],60000,0,0.147602,0.147602,0.147602,19.99779,0,0,0.0,0.0,0,0,5.944
51,0.091917,[0],60000,0,0.138553,0.138553,0.138553,20.003588,0,0,0.0,0.0,0,0,5.73
52,0.148447,[0],60000,0,0.149651,0.149651,0.149651,20.015352,0,0,0.0,0.0,0,0,5.842
53,0.11079,[0],60000,0,0.131423,0.131423,0.131423,20.019239,0,0,0.0,0.0,0,0,5.98
54,0.100318,[0],60000,0,0.147694,0.147694,0.147694,20.025581,0,0,0.0,0.0,0,0,5.774
55,0.084781,[0],60000,0,0.12984,0.12984,0.12984,20.025428,0,0,0.0,0.0,0,0,5.641
56,0.108337,[0],60000,0,0.122701,0.122701,0.122701,20.03221,0,0,0.0,0.0,0,0,5.667
57,0.117434,[0],60000,0,0.140534,0.140534,0.140534,20.03691,0,0,0.0,0.0,0,0,5.755
