round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.240678,"[0, 3]",39337,0,0.16725,0.167456,0.150461,19.608356,13912126,13916388,6956063.0,6958194.0,2,2,30.905
2,0.198193,"[2, 0]",34617,0,0.186076,0.19874,0.170394,19.613313,13912126,13916388,6956063.0,6958194.0,2,2,28.56
3,0.185318,"[1, 0]",24248,0,0.185808,0.197676,0.183031,19.620208,13912126,13916388,6956063.0,6958194.0,2,2,27.53
4,0.231027,"[0, 2]",34617,0,0.205976,0.207618,0.191248,19.629112,13912126,13916388,6956063.0,6958194.0,2,2,27.443
5,0.181569,"[0, 2]",34617,0,0.222366,0.22293,0.209254,19.640994,13912126,13916388,6956063.0,6958194.0,2,2,27.681
6,0.146769,"[3, 0]",39337,0,0.214354,0.224626,0.1983,19.653697,13912126,13916388,6956063.0,6958194.0,2,2,27.467
7,0.173993,"[0, 3]",39337,0,0.218946,0.225806,0.204381,19.668479,13912126,13916388,6956063.0,6958194.0,2,2,28.09
8,0.148845,"[1, 0]",24248,0,0.205834,0.209475,0.197397,19.683546,13912126,13916388,6956063.0,6958194.0,2,2,28.347
9,0.127961,"[0, 2]",34617,0,0.220035,0.220458,0.206879,19.701346,13912126,13916388,6956063.0,6958194.0,2,2,29.103
10,0.123745,"[1, 2]",20663,0,0.201654,0.204837,0.185267,19.717481,13912126,13916388,6956063.0,6958194.0,2,2,27.996
11,0.139098,"[3, 0]",39337,0,0.187497,0.19347,0.164898,19.732165,13912126,13916388,6956063.0,6958194.0,2,2,27.695
12,0.146886,"[3, 2]",35752,0,0.180815,0.186913,0.158433,19.745922,13912126,13916388,6956063.0,6958194.0,2,2,27.404
13,0.069157,"[2, 0]",34617,0,0.145361,0.14801,0.118631,19.754779,13912126,13916388,6956063.0,6958194.0,2,2,27.875
14,0.142746,"[1, 2]",20663,0,0.167397,0.177063,0.149731,19.764874,13912126,13916388,6956063.0,6958194.0,2,2,27.739
15,0.093125,"[3, 1]",25383,0,0.172735,0.184364,0.149834,19.77848,13912126,13916388,6956063.0,6958194.0,2,2,27.472
16,0.15627,"[2, 0]",34617,0,0.16301,0.163537,0.137524,19.789382,13912126,13916388,6956063.0,6958194.0,2,2,27.471
17,0.089664,"[1, 3]",25383,0,0.134834,0.139277,0.110718,19.794665,13912126,13916388,6956063.0,6958194.0,2,2,28.61
18,0.134135,"[0, 3]",39337,0,0.152721,0.15289,0.124084,19.804536,13912126,13916388,6956063.0,6958194.0,2,2,29.097
19,0.113658,"[3, 0]",39337,0,0.142416,0.146882,0.108221,19.810049,13912126,13916388,6956063.0,6958194.0,2,2,27.792
20,0.082782,"[2, 1]",20663,0,0.137382,0.148582,0.104393,19.816898,13912126,13916388,6956063.0,6958194.0,2,2,27.575
21,0.173506,"[2, 0]",34617,0,0.15961,0.166411,0.126081,19.826219,13912126,13916388,6956063.0,6958194.0,2,2,28.29
22,0.075626,"[3, 2]",35752,0,0.129287,0.132382,0.09834,19.832902,13912126,13916388,6956063.0,6958194.0,2,2,28.4
23,0.095294,"[0, 1]",24248,0,0.135564,0.145924,0.12058,19.836599,13912126,13916388,6956063.0,6958194.0,2,2,28.396
24,0.112525,"[0, 2]",34617,0,0.150135,0.154307,0.120691,19.840076,13912126,13916388,6956063.0,6958194.0,2,2,28.117
25,0.079527,"[2, 3]",35752,0,0.127722,0.133193,0.093853,19.842893,13912126,13916388,6956063.0,6958194.0,2,2,28.397
26,0.11376,"[2, 3]",35752,0,0.14028,0.140645,0.107761,19.847339,13912126,13916388,6956063.0,6958194.0,2,2,29.507
27,0.125512,"[1, 2]",20663,0,0.155481,0.156053,0.136485,19.86089,13912126,13916388,6956063.0,6958194.0,2,2,28.515
28,0.091888,"[0, 3]",39337,0,0.142106,0.14346,0.108241,19.867977,13912126,13916388,6956063.0,6958194.0,2,2,27.865
29,0.114834,"[1, 3]",25383,0,0.141238,0.143134,0.11572,19.867764,13912126,13916388,6956063.0,6958194.0,2,2,27.249
30,0.136486,"[0, 3]",39337,0,0.146956,0.151216,0.116267,19.875896,13912126,13916388,6956063.0,6958194.0,2,2,28.305
31,0.14978,"[0, 1]",24248,0,0.133436,0.134952,0.112353,19.876666,13912126,13916388,6956063.0,6958194.0,2,2,27.545
32,0.134417,"[2, 1]",20663,0,0.148476,0.150678,0.125032,19.886898,13912126,13916388,6956063.0,6958194.0,2,2,27.865
33,0.134233,"[2, 0]",34617,0,0.150792,0.153896,0.118365,19.897606,13912126,13916388,6956063.0,6958194.0,2,2,27.966
34,0.076863,"[2, 1]",20663,0,0.133031,0.136704,0.104781,19.902892,13912126,13916388,6956063.0,6958194.0,2,2,28.601
