round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.221393,[0],60000,0,0.181781,0.181781,0.181781,19.609056,0,0,0.0,0.0,0,0,7.829
2,0.124876,[0],60000,0,0.215756,0.215756,0.215756,19.615706,0,0,0.0,0.0,0,0,6.735
3,0.131483,[0],60000,0,0.21304,0.21304,0.21304,19.624207,0,0,0.0,0.0,0,0,6.141
4,0.108314,[0],60000,0,0.209291,0.209291,0.209291,19.634275,0,0,0.0,0.0,0,0,6.569
5,0.113119,[0],60000,0,0.196029,0.196029,0.196029,19.645189,0,0,0.0,0.0,0,0,6.608
6,0.114138,[0],60000,0,0.21585,0.21585,0.21585,19.658581,0,0,0.0,0.0,0,0,6.281
7,0.084471,[0],60000,0,0.21025,0.21025,0.21025,19.673395,0,0,0.0,0.0,0,0,6.292
8,0.169923,[0],60000,0,0.207572,0.207572,0.207572,19.688378,0,0,0.0,0.0,0,0,6.616
9,0.101393,[0],60000,0,0.219357,0.219357,0.219357,19.706152,0,0,0.0,0.0,0,0,5.981
10,0.072745,[0],60000,0,0.200791,0.200791,0.200791,19.722867,0,0,0.0,0.0,0,0,6.647
11,0.076085,[0],60000,0,0.184178,0.184178,0.184178,19.737159,0,0,0.0,0.0,0,0,6.579
12,0.056687,[0],60000,0,0.172078,0.172078,0.172078,19.748568,0,0,0.0,0.0,0,0,6.284
13,0.09749,[0],60000,0,0.177602,0.177602,0.177602,19.760987,0,0,0.0,0.0,0,0,6.294
14,0.074776,[0],60000,0,0.157635,0.157635,0.157635,19.773239,0,0,0.0,0.0,0,0,6.599
15,0.098696,[0],60000,0,0.165166,0.165166,0.165166,19.785122,0,0,0.0,0.0,0,0,6.965
16,0.074018,[0],60000,0,0.177452,0.177452,0.177452,19.795924,0,0,0.0,0.0,0,0,6.697
17,0.056606,[0],60000,0,0.14076,0.14076,0.14076,19.80389,0,0,0.0,0.0,0,0,6.351
18,0.067468,[0],60000,0,0.150332,0.150332,0.150332,19.815568,0,0,0.0,0.0,0,0,6.421
19,0.083468,[0],60000,0,0.144525,0.144525,0.144525,19.825602,0,0,0.0,0.0,0,0,6.919
20,0.048503,[0],60000,0,0.151743,0.151743,0.151743,19.836379,0,0,0.0,0.0,0,0,6.922
21,0.093296,[0],60000,0,0.152084,0.152084,0.152084,19.848049,0,0,0.0,0.0,0,0,6.943
22,0.075432,[0],60000,0,0.152081,0.152081,0.152081,19.857646,0,0,0.0,0.0,0,0,6.597
23,0.085086,[0],60000,0,0.149325,0.149325,0.149325,19.865692,0,0,0.0,0.0,0,0,6.629
24,0.077895,[0],60000,0,0.154627,0.154627,0.154627,19.878463,0,0,0.0,0.0,0,0,6.494
25,0.028781,[0],60000,0,0.1303,0.1303,0.1303,19.886106,0,0,0.0,0.0,0,0,6.156
26,0.048895,[0],60000,0,0.141414,0.141414,0.141414,19.890859,0,0,0.0,0.0,0,0,6.224
27,0.040065,[0],60000,0,0.117085,0.117085,0.117085,19.899265,0,0,0.0,0.0,0,0,6.311
