round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.161041,"[0, 3]",30944,0,0.179858,0.181638,0.167123,19.608833,13912126,13916388,6956063.0,6958194.0,2,2,28.676
2,0.137363,"[2, 0]",23237,0,0.20023,0.207309,0.190474,19.614751,13912126,13916388,6956063.0,6958194.0,2,2,28.017
3,0.13065,"[1, 0]",26089,0,0.203018,0.209485,0.191099,19.622499,13912126,13916388,6956063.0,6958194.0,2,2,28.461
4,0.167893,"[0, 2]",23237,0,0.222917,0.226353,0.209725,19.632917,13912126,13916388,6956063.0,6958194.0,2,2,29.86
5,0.121803,"[0, 2]",23237,0,0.239742,0.24095,0.228843,19.646521,13912126,13916388,6956063.0,6958194.0,2,2,28.172
6,0.103448,"[3, 0]",30944,0,0.222264,0.226065,0.214448,19.661111,13912126,13916388,6956063.0,6958194.0,2,2,27.903
7,0.108002,"[0, 3]",30944,0,0.226585,0.228492,0.216707,19.677445,13912126,13916388,6956063.0,6958194.0,2,2,27.936
8,0.099039,"[1, 0]",26089,0,0.214112,0.215593,0.202705,19.693982,13912126,13916388,6956063.0,6958194.0,2,2,27.823
9,0.077089,"[0, 2]",23237,0,0.212046,0.222286,0.195722,19.710933,13912126,13916388,6956063.0,6958194.0,2,2,27.648
10,0.07583,"[1, 2]",29056,0,0.190542,0.192039,0.167553,19.724881,13912126,13916388,6956063.0,6958194.0,2,2,27.89
11,0.084202,"[3, 0]",30944,0,0.192072,0.206601,0.164698,19.738304,13912126,13916388,6956063.0,6958194.0,2,2,28.334
12,0.084712,"[3, 2]",33911,0,0.18894,0.200489,0.169507,19.753779,13912126,13916388,6956063.0,6958194.0,2,2,29.05
13,0.048541,"[2, 0]",23237,0,0.152395,0.157797,0.129092,19.764056,13912126,13916388,6956063.0,6958194.0,2,2,28.441
14,0.09005,"[1, 2]",29056,0,0.157441,0.162343,0.129255,19.774515,13912126,13916388,6956063.0,6958194.0,2,2,27.857
15,0.061044,"[3, 1]",36763,0,0.157691,0.167157,0.132457,19.784074,13912126,13916388,6956063.0,6958194.0,2,2,27.611
16,0.088071,"[2, 0]",23237,0,0.157158,0.164936,0.128882,19.794636,13912126,13916388,6956063.0,6958194.0,2,2,28.036
17,0.059161,"[1, 3]",36763,0,0.143643,0.151712,0.111566,19.802841,13912126,13916388,6956063.0,6958194.0,2,2,28.1
18,0.076342,"[0, 3]",30944,0,0.164743,0.16609,0.144688,19.817527,13912126,13916388,6956063.0,6958194.0,2,2,27.651
19,0.073035,"[3, 0]",30944,0,0.159119,0.173356,0.129396,19.829727,13912126,13916388,6956063.0,6958194.0,2,2,27.728
20,0.046066,"[2, 1]",29056,0,0.139666,0.144931,0.111905,19.837226,13912126,13916388,6956063.0,6958194.0,2,2,28.577
21,0.106501,"[2, 0]",23237,0,0.157712,0.165892,0.126248,19.842652,13912126,13916388,6956063.0,6958194.0,2,2,29.471
22,0.042016,"[3, 2]",33911,0,0.140731,0.14641,0.106428,19.85013,13912126,13916388,6956063.0,6958194.0,2,2,28.104
23,0.067413,"[0, 1]",26089,0,0.13708,0.1447,0.109171,19.85701,13912126,13916388,6956063.0,6958194.0,2,2,27.819
24,0.064927,"[0, 2]",23237,0,0.153783,0.156827,0.125278,19.867667,13912126,13916388,6956063.0,6958194.0,2,2,27.42
25,0.042472,"[2, 3]",33911,0,0.134766,0.13652,0.107415,19.876435,13912126,13916388,6956063.0,6958194.0,2,2,28.636
26,0.067392,"[2, 3]",33911,0,0.151995,0.157469,0.123003,19.885881,13912126,13916388,6956063.0,6958194.0,2,2,27.582
27,0.064503,"[1, 2]",29056,0,0.145063,0.151409,0.107781,19.889257,13912126,13916388,6956063.0,6958194.0,2,2,27.699
28,0.054495,"[0, 3]",30944,0,0.14089,0.150183,0.10867,19.895337,13912126,13916388,6956063.0,6958194.0,2,2,28.123
29,0.067924,"[1, 3]",36763,0,0.149264,0.152426,0.116896,19.907442,13912126,13916388,6956063.0,6958194.0,2,2,29.062
30,0.076977,"[0, 3]",30944,0,0.154319,0.160596,0.122372,19.918298,13912126,13916388,6956063.0,6958194.0,2,2,28.36
31,0.092829,"[0, 1]",26089,0,0.138849,0.139851,0.109567,19.928081,13912126,13916388,6956063.0,6958194.0,2,2,27.347
32,0.078526,"[2, 1]",29056,0,0.137093,0.145858,0.102807,19.936456,13912126,13916388,6956063.0,6958194.0,2,2,27.567
33,0.075094,"[2, 0]",23237,0,0.13259,0.134464,0.099395,19.941385,13912126,13916388,6956063.0,6958194.0,2,2,27.293
34,0.056923,"[2, 1]",29056,0,0.139453,0.140179,0.10678,19.946365,13912126,13916388,6956063.0,6958194.0,2,2,27.945
35,0.050167,"[1, 2]",29056,0,0.128511,0.138076,0.099677,19.946903,13912126,13916388,6956063.0,6958194.0,2,2,27.278
