round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.251673,[0],5000,0,0.185355,0.185355,0.185355,19.608711,0,0,0.0,0.0,0,0,9.185
2,0.165035,[0],5000,0,0.226205,0.226205,0.226205,19.615107,0,0,0.0,0.0,0,0,8.018
3,0.21207,[0],5000,0,0.226203,0.226203,0.226203,19.624083,0,0,0.0,0.0,0,0,8.266
4,0.186041,[0],5000,0,0.223022,0.223022,0.223022,19.634983,0,0,0.0,0.0,0,0,8.279
5,0.183551,[0],5000,0,0.247868,0.247868,0.247868,19.649306,0,0,0.0,0.0,0,0,8.368
6,0.315327,[0],5000,0,0.23333,0.23333,0.23333,19.663982,0,0,0.0,0.0,0,0,8.342
7,0.224717,[0],5000,0,0.222951,0.222951,0.222951,19.679409,0,0,0.0,0.0,0,0,8.622
8,0.221677,[0],5000,0,0.216196,0.216196,0.216196,19.69496,0,0,0.0,0.0,0,0,8.006
9,0.126303,[0],5000,0,0.18566,0.18566,0.18566,19.707378,0,0,0.0,0.0,0,0,8.478
10,0.227065,[0],5000,0,0.200986,0.200986,0.200986,19.722429,0,0,0.0,0.0,0,0,8.482
11,0.231014,[0],5000,0,0.185051,0.185051,0.185051,19.735484,0,0,0.0,0.0,0,0,8.327
12,0.147993,[0],5000,0,0.163535,0.163535,0.163535,19.746593,0,0,0.0,0.0,0,0,8.464
13,0.151949,[0],5000,0,0.147183,0.147183,0.147183,19.752619,0,0,0.0,0.0,0,0,8.284
14,0.236758,[0],5000,0,0.157147,0.157147,0.157147,19.760698,0,0,0.0,0.0,0,0,8.493
15,0.123014,[0],5000,0,0.130586,0.130586,0.130586,19.767505,0,0,0.0,0.0,0,0,8.279
16,0.219106,[0],5000,0,0.167806,0.167806,0.167806,19.775681,0,0,0.0,0.0,0,0,8.367
