round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.221644,"[0, 3]",1937,0,0.195155,0.19921,0.176305,19.608666,13912126,13916388,6956063.0,6958194.0,2,2,16.413
2,0.214234,"[2, 0]",3270,0,0.217176,0.220488,0.20434,19.615024,13912126,13916388,6956063.0,6958194.0,2,2,15.24
3,0.266943,"[1, 0]",2379,0,0.25562,0.256805,0.240576,19.625329,13912126,13916388,6956063.0,6958194.0,2,2,15.479
4,0.223565,"[0, 2]",3270,0,0.257633,0.259616,0.244201,19.638506,13912126,13916388,6956063.0,6958194.0,2,2,15.404
5,0.201279,"[0, 2]",3270,0,0.251123,0.253089,0.236914,19.653662,13912126,13916388,6956063.0,6958194.0,2,2,15.564
6,0.20281,"[3, 0]",1937,0,0.234333,0.248318,0.214875,19.668958,13912126,13916388,6956063.0,6958194.0,2,2,16.047
7,0.201836,"[0, 3]",1937,0,0.230766,0.236105,0.212419,19.685187,13912126,13916388,6956063.0,6958194.0,2,2,15.555
8,0.172745,"[1, 0]",2379,0,0.188693,0.196887,0.165821,19.697572,13912126,13916388,6956063.0,6958194.0,2,2,15.82
9,0.195158,"[0, 2]",3270,0,0.209897,0.221632,0.188781,19.713502,13912126,13916388,6956063.0,6958194.0,2,2,16.183
10,0.103313,"[1, 2]",3063,0,0.18011,0.199108,0.166275,19.727106,13912126,13916388,6956063.0,6958194.0,2,2,17.809
11,0.213457,"[3, 0]",1937,0,0.159349,0.172926,0.131717,19.73537,13912126,13916388,6956063.0,6958194.0,2,2,15.395
12,0.180514,"[3, 2]",2621,0,0.182577,0.200268,0.175654,19.749919,13912126,13916388,6956063.0,6958194.0,2,2,14.985
13,0.137386,"[2, 0]",3270,0,0.15865,0.164436,0.133249,19.759576,13912126,13916388,6956063.0,6958194.0,2,2,14.528
14,0.217257,"[1, 2]",3063,0,0.158525,0.164841,0.132706,19.768511,13912126,13916388,6956063.0,6958194.0,2,2,14.832
15,0.125469,"[3, 1]",1730,0,0.148567,0.152152,0.113432,19.771261,13912126,13916388,6956063.0,6958194.0,2,2,14.705
16,0.232733,"[2, 0]",3270,0,0.158956,0.165427,0.126736,19.778059,13912126,13916388,6956063.0,6958194.0,2,2,14.667
17,0.084043,"[1, 3]",1730,0,0.139767,0.143144,0.105745,19.7833,13912126,13916388,6956063.0,6958194.0,2,2,14.803
18,0.191669,"[0, 3]",1937,0,0.150525,0.170371,0.127676,19.790248,13912126,13916388,6956063.0,6958194.0,2,2,15.052
19,0.123215,"[3, 0]",1937,0,0.139946,0.148022,0.116349,19.7954,13912126,13916388,6956063.0,6958194.0,2,2,14.681
20,0.194564,"[2, 1]",3063,0,0.147492,0.151068,0.118057,19.802238,13912126,13916388,6956063.0,6958194.0,2,2,14.685
21,0.134205,"[2, 0]",3270,0,0.134334,0.13835,0.101794,19.805484,13912126,13916388,6956063.0,6958194.0,2,2,14.39
22,0.191614,"[3, 2]",2621,0,0.155203,0.155948,0.128734,19.813724,13912126,13916388,6956063.0,6958194.0,2,2,14.835
23,0.219653,"[0, 1]",2379,0,0.146322,0.161479,0.103259,19.816863,13912126,13916388,6956063.0,6958194.0,2,2,14.662
24,0.184874,"[0, 2]",3270,0,0.138329,0.152689,0.107572,19.818636,13912126,13916388,6956063.0,6958194.0,2,2,14.458
