round,avg_client_loss,selected_clients,total_samples,round_duration_sec
1,0.218851,"[0, 3]",1937,8.227
2,0.24404,"[2, 0]",3270,7.8
3,0.188528,"[1, 0]",2379,7.816
4,0.168331,"[0, 2]",3270,7.903
5,0.172081,"[0, 2]",3270,7.799
6,0.157174,"[3, 0]",1937,7.761
7,0.170273,"[0, 3]",1937,7.75
8,0.170449,"[1, 0]",2379,7.809
9,0.164478,"[0, 2]",3270,7.78
10,0.206656,"[1, 2]",3063,7.763
11,0.158239,"[3, 0]",1937,7.787
12,0.174516,"[3, 2]",2621,7.8
13,0.189218,"[2, 0]",3270,7.802
14,0.167764,"[1, 2]",3063,7.818
15,0.204385,"[3, 1]",1730,7.747
16,0.17411,"[2, 0]",3270,7.78
17,0.202431,"[1, 3]",1730,7.769
18,0.212203,"[0, 3]",1937,7.743
19,0.179712,"[3, 0]",1937,7.725
20,0.197483,"[2, 1]",3063,7.864
