round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.217941,"[0, 3, 1, 2]",5000,0,0.185592,0.199226,0.156866,19.608402,27824252,27832776,6956063.0,6958194.0,4,4,69.234
2,0.249933,"[1, 0, 2, 3]",5000,0,0.236426,0.245853,0.213497,19.615238,27824252,27832776,6956063.0,6958194.0,4,4,67.37
3,0.206948,"[3, 0, 2, 1]",5000,0,0.243981,0.255632,0.223677,19.625001,27824252,27832776,6956063.0,6958194.0,4,4,66.983
4,0.204389,"[1, 0, 2, 3]",5000,0,0.246234,0.26811,0.21676,19.636706,27824252,27832776,6956063.0,6958194.0,4,4,69.614
5,0.158271,"[3, 0, 1, 2]",5000,0,0.228772,0.248467,0.203393,19.649461,27824252,27832776,6956063.0,6958194.0,4,4,67.771
6,0.212707,"[0, 3, 1, 2]",5000,0,0.238444,0.27127,0.219506,19.665303,27824252,27832776,6956063.0,6958194.0,4,4,66.989
7,0.186407,"[2, 0, 3, 1]",5000,0,0.228893,0.249503,0.197192,19.680918,27824252,27832776,6956063.0,6958194.0,4,4,69.097
8,0.178843,"[0, 3, 1, 2]",5000,0,0.214413,0.233914,0.180945,19.696226,27824252,27832776,6956063.0,6958194.0,4,4,70.167
9,0.148904,"[2, 1, 3, 0]",5000,0,0.173252,0.207462,0.128867,19.705567,27824252,27832776,6956063.0,6958194.0,4,4,68.183
10,0.168708,"[3, 2, 0, 1]",5000,0,0.196924,0.218359,0.167315,19.72057,27824252,27832776,6956063.0,6958194.0,4,4,69.659
11,0.162962,"[0, 2, 1, 3]",5000,0,0.170585,0.195661,0.128419,19.730656,27824252,27832776,6956063.0,6958194.0,4,4,70.288
12,0.204064,"[1, 2, 0, 3]",5000,0,0.164551,0.174966,0.125981,19.737757,27824252,27832776,6956063.0,6958194.0,4,4,68.289
13,0.166799,"[1, 3, 0, 2]",5000,0,0.156961,0.170005,0.116815,19.746968,27824252,27832776,6956063.0,6958194.0,4,4,70.165
14,0.179355,"[0, 1, 2, 3]",5000,0,0.148544,0.162119,0.107695,19.753839,27824252,27832776,6956063.0,6958194.0,4,4,71.499
15,0.167074,"[2, 0, 1, 3]",5000,0,0.142071,0.154612,0.094168,19.759644,27824252,27832776,6956063.0,6958194.0,4,4,64.987
16,0.199365,"[1, 2, 3, 0]",5000,0,0.161706,0.173077,0.10993,19.767512,27824252,27832776,6956063.0,6958194.0,4,4,65.614
17,0.150749,"[1, 2, 0, 3]",5000,0,0.14206,0.154133,0.091444,19.772571,27824252,27832776,6956063.0,6958194.0,4,4,65.314
18,0.210111,"[3, 1, 2, 0]",5000,0,0.147245,0.162589,0.094216,19.777688,27824252,27832776,6956063.0,6958194.0,4,4,67.222
19,0.175272,"[2, 0, 3, 1]",5000,0,0.151705,0.160809,0.102246,19.785556,27824252,27832776,6956063.0,6958194.0,4,4,64.742
20,0.17914,"[2, 1, 3, 0]",5000,0,0.143479,0.14685,0.086027,19.790474,27824252,27832776,6956063.0,6958194.0,4,4,64.921
21,0.202205,"[1, 2, 3, 0]",5000,0,0.14869,0.159641,0.093133,19.796708,27824252,27832776,6956063.0,6958194.0,4,4,65.838
22,0.242484,"[3, 1, 2, 0]",5000,0,0.144505,0.158098,0.090453,19.801454,27824252,27832776,6956063.0,6958194.0,4,4,65.793
23,0.147035,"[2, 0, 3, 1]",5000,0,0.151341,0.173201,0.103603,19.810843,27824252,27832776,6956063.0,6958194.0,4,4,64.992
24,0.215483,"[3, 2, 1, 0]",5000,0,0.155145,0.162255,0.102925,19.819136,27824252,27832776,6956063.0,6958194.0,4,4,64.415
25,0.195564,"[1, 0, 3, 2]",5000,0,0.136159,0.148885,0.073019,19.819423,27824252,27832776,6956063.0,6958194.0,4,4,67.692
26,0.159504,"[0, 3, 2, 1]",5000,0,0.134699,0.138758,0.085011,19.825697,27824252,27832776,6956063.0,6958194.0,4,4,65.686
27,0.20463,"[3, 2, 0, 1]",5000,0,0.143534,0.159012,0.083598,19.825673,27824252,27832776,6956063.0,6958194.0,4,4,65.308
28,0.163979,"[3, 2, 1, 0]",5000,0,0.137568,0.154856,0.076542,19.828964,27824252,27832776,6956063.0,6958194.0,4,4,65.836
29,0.177303,"[0, 2, 3, 1]",5000,0,0.137979,0.15052,0.080246,19.8329,27824252,27832776,6956063.0,6958194.0,4,4,67.053
30,0.182627,"[2, 0, 1, 3]",5000,0,0.131496,0.155664,0.077455,19.838147,27824252,27832776,6956063.0,6958194.0,4,4,65.644
31,0.144603,"[1, 3, 0, 2]",5000,0,0.140191,0.155738,0.0725,19.840806,27824252,27832776,6956063.0,6958194.0,4,4,64.969
32,0.172152,"[1, 2, 0, 3]",5000,0,0.140179,0.143359,0.079251,19.842722,27824252,27832776,6956063.0,6958194.0,4,4,66.385
33,0.171002,"[1, 0, 3, 2]",5000,0,0.138266,0.143704,0.078036,19.843429,27824252,27832776,6956063.0,6958194.0,4,4,66.489
34,0.203639,"[0, 2, 1, 3]",5000,0,0.142606,0.154551,0.087712,19.850209,27824252,27832776,6956063.0,6958194.0,4,4,65.163
35,0.177978,"[0, 3, 1, 2]",5000,0,0.133295,0.147722,0.082099,19.856381,27824252,27832776,6956063.0,6958194.0,4,4,64.946
36,0.159323,"[1, 0, 2, 3]",5000,0,0.136569,0.143609,0.078691,19.859433,27824252,27832776,6956063.0,6958194.0,4,4,67.241
37,0.176146,"[0, 2, 1, 3]",5000,0,0.133941,0.148341,0.072951,19.860794,27824252,27832776,6956063.0,6958194.0,4,4,64.805
38,0.150717,"[1, 0, 3, 2]",5000,0,0.137821,0.146934,0.073707,19.864416,27824252,27832776,6956063.0,6958194.0,4,4,64.927
39,0.181905,"[2, 3, 1, 0]",5000,0,0.129831,0.144521,0.07176,19.867637,27824252,27832776,6956063.0,6958194.0,4,4,65.363
40,0.141932,"[1, 2, 3, 0]",5000,0,0.129776,0.154151,0.073981,19.867482,27824252,27832776,6956063.0,6958194.0,4,4,67.343
41,0.15103,"[2, 1, 3, 0]",5000,0,0.133821,0.151271,0.074326,19.871718,27824252,27832776,6956063.0,6958194.0,4,4,65.117
42,0.165105,"[1, 0, 2, 3]",5000,0,0.142081,0.145418,0.078532,19.874008,27824252,27832776,6956063.0,6958194.0,4,4,64.845
43,0.17143,"[0, 2, 3, 1]",5000,0,0.137068,0.155435,0.077848,19.876765,27824252,27832776,6956063.0,6958194.0,4,4,67.213
44,0.201408,"[0, 3, 2, 1]",5000,0,0.134014,0.146458,0.074585,19.880267,27824252,27832776,6956063.0,6958194.0,4,4,66.468
