round,avg_client_loss,selected_clients,total_samples,skipped_steps,mean_client_update_l2,max_client_update_l2,aggregation_delta_l2,global_lora_l2,payload_bytes_raw_sum,payload_bytes_compressed_sum,payload_bytes_raw_mean,payload_bytes_compressed_mean,audit_verified,audit_records,round_duration_sec
1,0.252385,"[0, 3]",1937,0,0.096697,0.097776,0.087854,9.806973,3553342,3554444,1776671.0,1777222.0,2,2,21.585
2,0.192949,"[2, 0]",3270,0,0.105386,0.107854,0.097024,9.809667,3553342,3554444,1776671.0,1777222.0,2,2,20.244
3,0.298578,"[1, 0]",2379,0,0.133108,0.133957,0.125137,9.814839,3553342,3554444,1776671.0,1777222.0,2,2,20.144
4,0.237898,"[0, 2]",3270,0,0.132158,0.134185,0.12598,9.821404,3553342,3554444,1776671.0,1777222.0,2,2,20.088
5,0.217725,"[0, 2]",3270,0,0.136423,0.14289,0.129616,9.829589,3553342,3554444,1776671.0,1777222.0,2,2,20.499
6,0.223708,"[3, 0]",1937,0,0.135355,0.142245,0.12582,9.838771,3553342,3554444,1776671.0,1777222.0,2,2,20.311
7,0.227733,"[0, 3]",1937,0,0.149462,0.150718,0.142161,9.851187,3553342,3554444,1776671.0,1777222.0,2,2,20.475
8,0.195754,"[1, 0]",2379,0,0.126248,0.132147,0.118776,9.862689,3553342,3554444,1776671.0,1777222.0,2,2,20.35
9,0.227167,"[0, 2]",3270,0,0.14431,0.144487,0.136099,9.877569,3553342,3554444,1776671.0,1777222.0,2,2,20.563
10,0.126565,"[1, 2]",3063,0,0.133698,0.146949,0.13137,9.892824,3553342,3554444,1776671.0,1777222.0,2,2,21.14
11,0.241035,"[3, 0]",1937,0,0.134006,0.137643,0.124246,9.908869,3553342,3554444,1776671.0,1777222.0,2,2,21.681
12,0.177999,"[3, 2]",2621,0,0.132232,0.145356,0.132864,9.927206,3553342,3554444,1776671.0,1777222.0,2,2,21.218
13,0.140631,"[2, 0]",3270,0,0.128708,0.138361,0.120109,9.944915,3553342,3554444,1776671.0,1777222.0,2,2,21.003
14,0.210038,"[1, 2]",3063,0,0.129032,0.133424,0.119078,9.963057,3553342,3554444,1776671.0,1777222.0,2,2,20.392
15,0.143456,"[3, 1]",1730,0,0.129228,0.136211,0.122695,9.983276,3553342,3554444,1776671.0,1777222.0,2,2,20.159
16,0.20426,"[2, 0]",3270,0,0.114406,0.123877,0.104468,9.999888,3553342,3554444,1776671.0,1777222.0,2,2,20.536
17,0.09223,"[1, 3]",1730,0,0.105307,0.107127,0.092697,10.013609,3553342,3554444,1776671.0,1777222.0,2,2,20.505
18,0.21183,"[0, 3]",1937,0,0.111491,0.122533,0.107042,10.031724,3553342,3554444,1776671.0,1777222.0,2,2,20.482
19,0.134386,"[3, 0]",1937,0,0.112838,0.121672,0.10585,10.050143,3553342,3554444,1776671.0,1777222.0,2,2,20.721
20,0.226574,"[2, 1]",3063,0,0.125284,0.125849,0.116302,10.071685,3553342,3554444,1776671.0,1777222.0,2,2,20.738
21,0.140044,"[2, 0]",3270,0,0.10009,0.107625,0.088971,10.087075,3553342,3554444,1776671.0,1777222.0,2,2,21.44
22,0.189061,"[3, 2]",2621,0,0.109317,0.109494,0.099389,10.103997,3553342,3554444,1776671.0,1777222.0,2,2,21.583
23,0.222145,"[0, 1]",2379,0,0.099183,0.10357,0.084792,10.117612,3553342,3554444,1776671.0,1777222.0,2,2,21.784
24,0.195105,"[0, 2]",3270,0,0.092054,0.100351,0.079288,10.129533,3553342,3554444,1776671.0,1777222.0,2,2,20.754
25,0.217329,"[2, 3]",2621,0,0.090051,0.092085,0.081183,10.139917,3553342,3554444,1776671.0,1777222.0,2,2,20.15
26,0.11019,"[2, 3]",2621,0,0.087175,0.091539,0.071715,10.150633,3553342,3554444,1776671.0,1777222.0,2,2,20.287
27,0.19223,"[1, 2]",3063,0,0.096812,0.101182,0.086262,10.166265,3553342,3554444,1776671.0,1777222.0,2,2,20.108
28,0.171621,"[0, 3]",1937,0,0.081252,0.087248,0.069419,10.17396,3553342,3554444,1776671.0,1777222.0,2,2,20.432
29,0.140434,"[1, 3]",1730,0,0.081266,0.086023,0.065217,10.180876,3553342,3554444,1776671.0,1777222.0,2,2,20.291
30,0.190187,"[0, 3]",1937,0,0.084389,0.087216,0.070167,10.191482,3553342,3554444,1776671.0,1777222.0,2,2,20.461
31,0.143435,"[0, 1]",2379,0,0.096514,0.09758,0.078638,10.203385,3553342,3554444,1776671.0,1777222.0,2,2,21.624
32,0.239609,"[2, 1]",3063,0,0.091512,0.092329,0.074567,10.213213,3553342,3554444,1776671.0,1777222.0,2,2,20.664
33,0.174974,"[2, 0]",3270,0,0.086703,0.088941,0.068567,10.219778,3553342,3554444,1776671.0,1777222.0,2,2,21.848
34,0.151971,"[2, 1]",3063,0,0.076515,0.082009,0.064144,10.229627,3553342,3554444,1776671.0,1777222.0,2,2,21.43
35,0.191965,"[1, 2]",3063,0,0.092632,0.0968,0.075059,10.24063,3553342,3554444,1776671.0,1777222.0,2,2,21.583
36,0.199194,"[2, 3]",2621,0,0.076469,0.081192,0.058721,10.24071,3553342,3554444,1776671.0,1777222.0,2,2,20.556
37,0.168687,"[0, 2]",3270,0,0.083944,0.085459,0.067418,10.247005,3553342,3554444,1776671.0,1777222.0,2,2,20.29
38,0.161017,"[1, 2]",3063,0,0.07575,0.078903,0.055982,10.246995,3553342,3554444,1776671.0,1777222.0,2,2,20.214
39,0.173815,"[1, 0]",2379,0,0.080567,0.081775,0.059391,10.251003,3553342,3554444,1776671.0,1777222.0,2,2,20.646
40,0.197765,"[3, 1]",1730,0,0.080403,0.081249,0.06106,10.250766,3553342,3554444,1776671.0,1777222.0,2,2,20.208
41,0.201117,"[2, 3]",2621,0,0.082741,0.083428,0.068252,10.258233,3553342,3554444,1776671.0,1777222.0,2,2,20.283
42,0.192301,"[1, 2]",3063,0,0.088082,0.088348,0.068294,10.270537,3553342,3554444,1776671.0,1777222.0,2,2,20.275
43,0.196921,"[2, 0]",3270,0,0.077468,0.081802,0.058779,10.276665,3553342,3554444,1776671.0,1777222.0,2,2,20.372
44,0.2658,"[1, 0]",2379,0,0.08686,0.089604,0.067889,10.285626,3553342,3554444,1776671.0,1777222.0,2,2,21.402
45,0.173408,"[2, 1]",3063,0,0.087566,0.089079,0.070318,10.294317,3553342,3554444,1776671.0,1777222.0,2,2,21.301
46,0.111837,"[2, 0]",3270,0,0.076127,0.077705,0.055514,10.299913,3553342,3554444,1776671.0,1777222.0,2,2,21.619
47,0.257979,"[1, 2]",3063,0,0.084129,0.086051,0.066662,10.309676,3553342,3554444,1776671.0,1777222.0,2,2,20.634
48,0.166789,"[2, 0]",3270,0,0.081103,0.083932,0.06087,10.310422,3553342,3554444,1776671.0,1777222.0,2,2,20.202
49,0.223803,"[3, 1]",1730,0,0.084115,0.084371,0.060337,10.318691,3553342,3554444,1776671.0,1777222.0,2,2,20.199
50,0.187119,"[3, 0]",1937,0,0.073934,0.075551,0.05659,10.31809,3553342,3554444,1776671.0,1777222.0,2,2,20.328
51,0.174679,"[2, 0]",3270,0,0.081816,0.085171,0.058311,10.321481,3553342,3554444,1776671.0,1777222.0,2,2,20.32
52,0.144427,"[1, 2]",3063,0,0.071697,0.074576,0.056729,10.327063,3553342,3554444,1776671.0,1777222.0,2,2,20.225
53,0.257244,"[2, 3]",2621,0,0.087504,0.087886,0.06939,10.333775,3553342,3554444,1776671.0,1777222.0,2,2,20.797
54,0.179202,"[3, 2]",2621,0,0.079569,0.081518,0.067281,10.34116,3553342,3554444,1776671.0,1777222.0,2,2,20.35
55,0.128733,"[3, 1]",1730,0,0.073639,0.075681,0.055618,10.348117,3553342,3554444,1776671.0,1777222.0,2,2,20.803
56,0.194336,"[1, 0]",2379,0,0.082715,0.085311,0.062038,10.355877,3553342,3554444,1776671.0,1777222.0,2,2,21.489
57,0.219688,"[3, 0]",1937,0,0.08246,0.083048,0.063234,10.357608,3553342,3554444,1776671.0,1777222.0,2,2,21.703
58,0.134552,"[0, 3]",1937,0,0.075089,0.075408,0.056894,10.358049,3553342,3554444,1776671.0,1777222.0,2,2,21.539
59,0.18427,"[1, 2]",3063,0,0.075555,0.079075,0.059241,10.361208,3553342,3554444,1776671.0,1777222.0,2,2,20.836
60,0.192051,"[1, 2]",3063,0,0.070376,0.073587,0.051886,10.365156,3553342,3554444,1776671.0,1777222.0,2,2,20.789
61,0.18818,"[3, 2]",2621,0,0.086341,0.093299,0.064617,10.370111,3553342,3554444,1776671.0,1777222.0,2,2,20.074
62,0.109543,"[0, 1]",2379,0,0.076589,0.081664,0.054908,10.373188,3553342,3554444,1776671.0,1777222.0,2,2,20.573
63,0.199349,"[3, 2]",2621,0,0.072678,0.074342,0.059212,10.374313,3553342,3554444,1776671.0,1777222.0,2,2,20.93
64,0.177523,"[3, 2]",2621,0,0.078501,0.079442,0.063114,10.380451,3553342,3554444,1776671.0,1777222.0,2,2,20.663
65,0.159592,"[2, 3]",2621,0,0.080331,0.08034,0.065426,10.379906,3553342,3554444,1776671.0,1777222.0,2,2,20.39
66,0.18669,"[0, 2]",3270,0,0.079274,0.084143,0.062482,10.387755,3553342,3554444,1776671.0,1777222.0,2,2,20.186
67,0.205588,"[0, 2]",3270,0,0.078942,0.080201,0.058912,10.388409,3553342,3554444,1776671.0,1777222.0,2,2,21.747
68,0.19072,"[2, 3]",2621,0,0.076154,0.080946,0.063817,10.395928,3553342,3554444,1776671.0,1777222.0,2,2,21.421
69,0.212762,"[2, 0]",3270,0,0.077286,0.081626,0.056679,10.399131,3553342,3554444,1776671.0,1777222.0,2,2,20.963
70,0.129798,"[2, 1]",3063,0,0.07337,0.078628,0.061031,10.409941,3553342,3554444,1776671.0,1777222.0,2,2,21.361
71,0.134288,"[1, 3]",1730,0,0.086757,0.089365,0.068642,10.403854,3553342,3554444,1776671.0,1777222.0,2,2,20.287
72,0.188577,"[0, 2]",3270,0,0.074309,0.081765,0.05174,10.40695,3553342,3554444,1776671.0,1777222.0,2,2,20.434
73,0.210568,"[2, 3]",2621,0,0.076455,0.081954,0.065235,10.404728,3553342,3554444,1776671.0,1777222.0,2,2,20.584
74,0.166532,"[1, 2]",3063,0,0.074575,0.080154,0.055974,10.408501,3553342,3554444,1776671.0,1777222.0,2,2,20.574
75,0.14042,"[0, 2]",3270,0,0.085829,0.087654,0.061797,10.408099,3553342,3554444,1776671.0,1777222.0,2,2,20.502
76,0.149674,"[2, 3]",2621,0,0.072847,0.074783,0.059596,10.40779,3553342,3554444,1776671.0,1777222.0,2,2,20.849
77,0.162091,"[1, 0]",2379,0,0.076609,0.083954,0.056764,10.416312,3553342,3554444,1776671.0,1777222.0,2,2,20.665
78,0.21198,"[2, 0]",3270,0,0.071587,0.075596,0.051304,10.415254,3553342,3554444,1776671.0,1777222.0,2,2,20.898
79,0.150869,"[0, 2]",3270,0,0.074506,0.07885,0.052325,10.413289,3553342,3554444,1776671.0,1777222.0,2,2,21.895
80,0.144126,"[2, 1]",3063,0,0.067722,0.076662,0.053739,10.420393,3553342,3554444,1776671.0,1777222.0,2,2,21.55
81,0.125062,"[0, 3]",1937,0,0.075522,0.075767,0.058369,10.416646,3553342,3554444,1776671.0,1777222.0,2,2,20.48
82,0.194853,"[2, 1]",3063,0,0.075932,0.076728,0.057096,10.422531,3553342,3554444,1776671.0,1777222.0,2,2,20.549
83,0.154215,"[1, 0]",2379,0,0.077602,0.08072,0.056341,10.424559,3553342,3554444,1776671.0,1777222.0,2,2,20.294
84,0.17685,"[1, 2]",3063,0,0.0798,0.080632,0.057255,10.424427,3553342,3554444,1776671.0,1777222.0,2,2,20.406
85,0.193137,"[0, 3]",1937,0,0.078826,0.081779,0.060451,10.429679,3553342,3554444,1776671.0,1777222.0,2,2,20.257
86,0.193029,"[3, 0]",1937,0,0.073038,0.073915,0.057217,10.437241,3553342,3554444,1776671.0,1777222.0,2,2,20.61
87,0.198998,"[1, 0]",2379,0,0.082323,0.08814,0.059136,10.442306,3553342,3554444,1776671.0,1777222.0,2,2,20.579
88,0.211457,"[3, 2]",2621,0,0.073716,0.076616,0.059603,10.448644,3553342,3554444,1776671.0,1777222.0,2,2,20.498
89,0.176734,"[1, 3]",1730,0,0.078543,0.079932,0.058396,10.450036,3553342,3554444,1776671.0,1777222.0,2,2,20.364
90,0.148558,"[3, 0]",1937,0,0.075821,0.080549,0.05914,10.451283,3553342,3554444,1776671.0,1777222.0,2,2,21.253
91,0.218717,"[1, 2]",3063,0,0.080177,0.087444,0.06233,10.452202,3553342,3554444,1776671.0,1777222.0,2,2,21.459
92,0.130362,"[2, 1]",3063,0,0.070087,0.074523,0.04975,10.456069,3553342,3554444,1776671.0,1777222.0,2,2,21.09
93,0.099464,"[2, 1]",3063,0,0.070627,0.07311,0.055242,10.461901,3553342,3554444,1776671.0,1777222.0,2,2,20.981
94,0.31416,"[3, 0]",1937,0,0.084223,0.087493,0.063681,10.466198,3553342,3554444,1776671.0,1777222.0,2,2,20.175
95,0.200753,"[1, 0]",2379,0,0.082957,0.083707,0.061417,10.460083,3553342,3554444,1776671.0,1777222.0,2,2,20.237
96,0.226989,"[0, 1]",2379,0,0.079783,0.079959,0.055905,10.457789,3553342,3554444,1776671.0,1777222.0,2,2,20.62
